id,canonical_identity,spatial_carrier,primary_role,is_real_route_node,is_thirteen_imprint_entry,evidence_state,design_disposition
R01,红岩嘴,CABLE moving view,TRANSPORT_ADJACENT|OBSERVE|VIEW,NO_ROUTE_AUTHORITY,YES,SOURCE_GROUNDED_MOVING_VIEW_FIELD_VIEW_OPEN,OBSERVE
R02,华中第一藤,WALK vegetation observation,OBSERVE|WISDOM|PROCESS,NO_ROUTE_AUTHORITY,YES,EXPERT_REQUIRED_SPECIES_AGE_LOCATION_OPEN,OBSERVE+HOLD_EXPLANATION
R03,铁券天书,WALK rock-face observation,OBSERVE|WISDOM|PROCESS,NO_ROUTE_AUTHORITY,YES,FIELD_GEOLOGY_EXPERT_OPEN,READ+HOLD_SCIENCE
R04,母子相望/母子峰,WALK paired-form named-view relation,CULTURE|OBSERVE|RELATION,NO_ROUTE_AUTHORITY,YES,FIELD_NAME_VIEWPOINT_OPEN,READ
R05,红花石林,CABLE/WALK broad peak-forest viewing,OBSERVE|PLAY|VIEW,NO_ROUTE_AUTHORITY,YES,SOURCE_GROUNDED_SAME_VIEW_WEATHER_OPEN,SCENE
R06,多级阶地·不对称河谷,WALK stop / viewing-platform + valley relation,OBSERVE|RECOVER|WISDOM|RELATION,NO_ROUTE_AUTHORITY,YES,SOURCE_PASS_FIELD_GEOMETRY_GEOLOGY_OPEN,SCENE
R07,仓禀峰/仓廪峰,WALK named-peak viewing,CULTURE|NAME|FORM,NO_ROUTE_AUTHORITY,YES,OPERATOR_PUBLIC_NAME_DUAL_SPELLING_FIELD_SIGN_OPEN,READ
R08,文山天书,WALK cliff-wall observation,READ|OBSERVE|CULTURE,NO_ROUTE_AUTHORITY,YES,FIELD_GEOLOGY_EXPERT_OPEN,READ+HOLD_SCIENCE
R09,盐水女神峰,WALK named-peak/story viewing,LOCAL_STORY|CULTURE|READ,NO_ROUTE_AUTHORITY,YES,TEXT_NARRATIVE_SOURCE_GROUNDED_SITE_EQUIVALENCE_NO,READ
R10,绝壁天书,WALK safe-distance cliff observation,OBSERVE|WISDOM|FORM,NO_ROUTE_AUTHORITY,YES,FIELD_GEOLOGY_EXPERT_SAFE_VIEW_OPEN,OBSERVE+HOLD_SCIENCE
R11,金石为开,WALK fissure / body-scale transition,OBSERVE|BODY|RELATION,NO_ROUTE_AUTHORITY,YES,FIELD_SAFETY_OPEN,OBSERVE/BODY
R12,廪君峰,WALK distant-peak cultural viewing,CULTURE|READ|VIEW,NO_ROUTE_AUTHORITY,YES,SOURCE_GROUNDED_RELATION_SITE_EQUIVALENCE_NO,READ
R13,一线天,WALK natural narrow aperture / passage + return view,BODY|OBSERVE|SAFETY|RETURN,NO_ROUTE_AUTHORITY,YES,SOURCE_GROUNDED_APERTURE_VIEW_SAFETY_OPEN,OBSERVE/BODY
