authoring_id,primary_chapter,primary_role,source_version,source_file,mapping_action,protected_legacy_candidate,mapping_state,current_frontier_note,does_not_prove
CH00-P01,CH00,PROJECT_DEFINITION,v0.1,CH00_PROJECT-DEFINITION.md,MAP_TO_LEGACY,C04-WEB-P001,DIRECT_CANDIDATE,Hero / project first-read,NO FINAL PAGE COUNT / NO DESIGN PASS
CH00-P02,CH00,PROJECT_DEFINITION,v0.1,CH00_PROJECT-DEFINITION.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH01-P01,CH01,PROBLEM_OPPORTUNITY,v0.2,CH01_PROJECT-PROBLEM-OPPORTUNITY.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH01-P02,CH01,PROBLEM_OPPORTUNITY,v0.2,CH01_PROJECT-PROBLEM-OPPORTUNITY.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH01-P03,CH01,PROBLEM_OPPORTUNITY,v0.2,CH01_PROJECT-PROBLEM-OPPORTUNITY.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH01-P04,CH01,PROBLEM_OPPORTUNITY,v0.2,CH01_PROJECT-PROBLEM-OPPORTUNITY.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH01-P05,CH01,PROBLEM_OPPORTUNITY,v0.2,CH01_PROJECT-PROBLEM-OPPORTUNITY.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH02-P01,CH02,SITE_LANDSCAPE_EVIDENCE,v0.1,CH02_SITE-LANDSCAPE-ANALYSIS.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH02-P02,CH02,SITE_LANDSCAPE_EVIDENCE,v0.1,CH02_SITE-LANDSCAPE-ANALYSIS.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
CH02-P03,CH02,SITE_LANDSCAPE_EVIDENCE,v0.1,CH02_SITE-LANDSCAPE-ANALYSIS.md,EXPAND_FROM_LEGACY,,NO_PID_ASSIGNED / LEGACY_MATCH_REVIEW_REQUIRED,,NO FINAL PAGE COUNT / NO DESIGN PASS
