r_id,tier,page_name,scene,content_role,evidence_state,notice,observability,action,default_depth,max_depth,prompt_gate,prompt,family_prompt,reveal,carrier,intervention,failure_recovery,exit,memory,ownership,does_not_prove
R01,CORE,越江视域｜红岩嘴,索道移动视点 / 越江开卷,移动中的关系阅读；不把索道变成讲解舱,SOURCE-GROUNDED / MOVING POV PARTIAL,江水、岩壁、峰林在移动中怎样改变前后、遮挡与尺度关系,移动中可观察；连续 cabin POV 仍待更强素材,LOOK / PASS,S0,S1,仅在上索道前或移动开始前提示；运行中不强制 UI,先别找景点名，看江水、岩壁和峰林怎样在移动中改变关系。,找一找：哪座峰刚才在前面，过一会儿又躲到后面去了？,默认无；离开后可补读“移动视点如何改变空间关系”,NO INTERVENTION / PRE-ENTRY LIGHT PROMPT / POST-TRAVEL MEMORY,LEVEL0 EXISTING,网络/定位/内容失败均不影响观看；UNKNOWN/CLOSED 服从 Service/Return,屏幕退场 → 继续看 → 到站后再记录,一页越江开卷；记录“我在移动中看见了什么变化”,CH10 content/interaction; CH11 only if digital prompt is used,不证明连续真实 cabin POV、GPS、实时索道状态或精确距离
R02,CONDITIONAL CORE,生长页｜华中第一藤,植物 / 岩壁与路径附近的近身体尺度,从宏观峰林切换到“生命如何依附环境生长”的近尺度阅读,ROUTE/OBJECT SUPPORTED / BOTANY FIELD+EXPERT OPEN,藤本与周围岩面、树体、支撑和高度方向的关系；先看生长方式，不先背物种知识,对象存在/路线价值有支持；物种、年龄、生态机制仍需植物学核验,LOOK / TRACE,S1,S2,只有当当前视点能清楚看到藤体与依附关系时启用；看不清则不发问,先沿着它看一遍：从哪里开始，向哪里生长，又依靠了什么？,从脚边一路追到高处，看看它是怎么“找路”的。,可选：已核验的植物身份 / 生长策略；未核验字段明确 OPEN,EXISTING CONTEXT + INFORMATION ONLY,LEVEL0–1,疲劳/拥堵时跳过；BOTANY 未关闭时只保留观察，不输出物种结论,继续行走；不要求保存,一条“生长轨迹”观察或照片，可留白,CH10 observation; botanical fact owner remains evidence/expert track,不证明植物年龄、物种诊断或现场生态因果
R03,COMPANION / PROVISIONAL,天书候选｜铁券天书,命名对象 / 岩面或轮廓（具体视点 OPEN）,只在真实对象可辨时讨论“自然形态如何被读成文字/器物”,PROVISIONAL / ROUTE-PROXY SUPPORTED,先看可见的边界、纹理或轮廓，再比较命名是否真的来自眼前形态,当前缺强 source-bound frame；不得预设具体地质结构,LOOK / FRAME / COMPARE,OFF,S1,HOLD UNTIL visible object/frame is source-bound; no generic prompt,仅在媒介/现场可见证据关闭后生成。,仅在对象可辨时启用“你觉得它像什么？”,可选命名来源；不得借 overlay 制造不存在的“天书纹理”,COMPANION / MAY MERGE INTO 天书组页,LEVEL0–1,对象不可辨/关闭/拥堵 → OFF；不为凑十三页补内容,跳过不留失败状态,只有主动保存才进入石书,CH10 provisional editorial object,不证明岩性、年代、形成机制或命名唯一来源
R04,COMPANION / PROVISIONAL,象形候选｜母子相望／母子峰,双峰/相邻轮廓的象形命名阅读,让游客先看两个轮廓的关系，再看人如何把关系命名成故事,PROVISIONAL / VIEWPOINT OPEN,两个可辨轮廓的大小、间距、朝向与相互遮挡,需 source-bound viewpoint；不能凭名称反推可见形态,LOOK / COMPARE / FRAME,OFF,S1,只有当同一画面中两个对象均清楚可见时启用,先不看名字：你能找到两个彼此呼应的轮廓吗？,先给这两个轮廓起一个自己的名字，再看看景区怎么叫它。,名称/地方解释后置；事实层与设计阅读分开,COMPANION / INFORMATION ONLY,LEVEL0–1,视点不成立 → OFF；不要求为了阅读停在不安全/拥堵位置,继续路线,可保存自定义命名，非任务,CH10 interpretation; CH11/CH15 may carry record,不证明地质关系、人物故事发生地或固定最佳视点
R05,CORE VIEW,峰林视域｜红花石林,开阔峰林观察,Landscape Hero；训练“先看高低、疏密、前后层次”，不强迫解释,FIRST-PARTY LANDSCAPE SUPPORTED / SAME-VIEW WEATHER OPEN,峰体的高低、疏密、前后层次；若画面确有江面，再读峰—江关系,峰林可观察；江面关系必须逐媒介确认,LOOK / COMPARE / WAIT,S0,S1,Prompt ↔ Media semantic binding：只问当前画面直接可见的对象,先看峰体的高低、疏密和前后层次怎么变化。,找三座最不一样的峰：一座高、一座密、一座躲在后面。,仅当当前 source 同时包含所需对象时增加关系说明；不画假江面/假天气,NO INTERVENTION / VIEW ONLY,LEVEL0 EXISTING,雾/拥堵/疲劳可只看或直接通过；不存在“错过”,继续观看或行走,“我记住的一组峰形”；不要求拍照,CH10 observation; visual carrier must be source-bound,不证明晴雾同机位差异、精确距离或地质成因
R06,CORE COMPOSITE / SCIENCE HERO,河谷页｜观景平台＋多级阶地／不对称河谷,开阔停留 / 河谷与阶地观察,全线主要 S2：Landscape First → Relation Reveal；解释一个真正需要被揭示的空间关系,SOURCE-GROUNDED / EXPERIENCE FROZEN / FIELD GEOMETRY OPEN,先看河谷两侧是否同样陡/同样展开，阶地和路径关系在哪里更明显,不对称河谷/多级阶地为当前研究级关系；精确几何仍 FIELD OPEN,LOOK / COMPARE / RECOVER,S0,S2+DEEP,Landscape first；疲劳/Return urgency 高时优先 RECOVER/RETURN，不自动 Reveal,先不看解释：河谷两侧看起来一样吗？你能找到层级变化最明显的一侧吗？,找一找：哪一边像被切成了几层？,同一 authoritative base 上增加 bounded relation；可选 2D 剖面/轮廓；FACT / INFERENCE / OPEN 分层,EXISTING STOP + DIGITAL/PRINT REVEAL; no new hero object,LEVEL0–1; physical support owned by CH13 if needed,疲劳→RECOVER；拥堵→缩短为 S0；Digital OFF→Landscape remains; Return always interrupts,WITHDRAW → 景观恢复主权 → CONTINUE / RETURN,记录“我原来没注意到的河谷关系”,CH10 content grammar; CH11 digital reveal; CH13 body support; CH16/17 technical proof,不证明现场尺寸、坡度、平台安全、科里奥利单因或施工可实施性
R07,CORE / NAME OPEN,象形页｜仓禀峰／仓廪峰,可辨山形 / 命名对象,自然形态 → 人如何命名；把命名当阅读，不当自然事实,FIRST-PARTY PUBLIC SPELLING = 仓禀峰 / SIGNAGE FIELD OPEN,先看轮廓和体量，再看“仓”的联想从哪里产生,公共第一方字形有支持；现场标牌与 legacy 字形未闭合,LOOK / FRAME / TRACE,S1,S2,必须先有可见山形，再显示名字；如果视点看不清，内容降为 OFF,先看轮廓，再猜：它为什么会被叫作“仓”？,先不要看答案，你会给这座峰起什么名字？,名称来源/字形状态；明确“仓禀峰”当前第一方优先、“仓廪峰”保留 legacy provenance,INFORMATION ONLY / OPTIONAL REVEAL,LEVEL0–1,视点/标牌 OPEN 时不冻结唯一现场字形；内容可跳过,回到山形,保留“我先看到的形状 / 后看到的名字”,CH10 naming interaction; source authority stays evidence track,不证明地质成因、古代功能或现场标牌最终字形
R08,COMPANION / MERGE PROVISIONAL,天书候选｜文山天书,命名对象（具体形态/视点 OPEN）,与 R03/R10 共同竞争“天书组页”，避免同类命名重复占据核心阅读,PROVISIONAL,只有可辨的形态/纹理才值得进入；否则保持空白,当前强证据不足,LOOK / FRAME,OFF,S1,HOLD UNTIL source-bound frame exists,仅在当前对象可见证据关闭后生成。,仅在对象可辨时启用。,若进入天书组页，只比较不同“天书”命名如何来自不同可见形态,MERGE CANDIDATE / MAY BE ABSENT,LEVEL0,证据/视点不足 → OFF / SUBSTITUTE,跳过,不默认进入,CH10 companion pool,不证明具体地质机制或命名事实链
R09,CORE / CULTURE REVIEW,回声页｜盐水女神峰,自然对象 + 地方叙事回声,让故事重新指向眼前山形，而不是在现场播放完整神话,TEXT TRADITION SOURCE-CLOSED / SITE-EVENT CLAIM FORBIDDEN,先观察轮廓、方位或与周边峰体的关系，再进入地方叙事,山体命名/地方叙事可作为文化层；古代事件地点不可反推,LOOK / LISTEN / TRACE,S1,S2+DEEP,先确认当前 frame 中山体可辨；故事音频/文本必须后置,先把它当作一座山看：什么轮廓让你开始产生“人物”的联想？,先看山，再听故事：你觉得故事抓住了哪一处形状？,FACT / LOCAL NARRATIVE / DESIGN READING 三栏；Deep 可追文本传统与来源,INFORMATION / OPTIONAL AUDIO-TEXT,LEVEL0–1,嘈杂/团队/低注意力 → 只保留 S0/S1；无音频也成立,故事结束后回到眼前山体,可记录“山形和故事在我脑中怎样重叠”,CH10 cultural interaction; source review stays culture/evidence track; CH15 post-trip memory,不证明古代事件发生于现代命名峰或神话为历史事实
R10,COMPANION / MERGE PROVISIONAL,天书候选｜绝壁天书,绝壁/命名对象（具体视点 OPEN）,与 R03/R08 竞争或合并为“天书组页”,PROVISIONAL / GEOLOGY EXPERT OPEN,只阅读当前可见的表面、边界、纹理；不套用区域地质结论,节点岩性/时代/形成机制 FIELD+EXPERT OPEN,LOOK / FRAME,OFF,S1,HOLD UNTIL exact source-bound object is visible,仅在对象与 required visual evidence 同时存在时生成。,仅在对象可辨时启用。,命名阅读可有；地质解释必须等待节点级证据,MERGE CANDIDATE / MAY BE ABSENT,LEVEL0,证据不足 → OFF，不用区域资料冒充节点事实,跳过,可留白,CH10 companion pool; geology owner stays expert/evidence,不证明节点岩性、时代、成因
