scene_id,scene_name,audience,first_need,interaction,value_gained,ui_or_physical_adaptation,off_condition
ARRIVAL,到达/云坛口,FAMILY_CHILD,知道今天怎么玩,找交通图标/选择想看的场景,期待感+方向感,图形地图+大目标+纸图,UNKNOWN/CLOSED仍显示安全与回程
ARRIVAL,到达/云坛口,YOUTH,快速规划路线,开放世界地图探索/收藏想看场景,自主选择+探索感,区域层级+交通切换+时间范围,不显示伪实时
ARRIVAL,到达/云坛口,ADULT,知道路线时间与交通,比较BOAT/CABLE/WALK与返回方式,决策效率+整体理解,分层地图+时间/状态+深读入口,运营未知则标UNKNOWN
ARRIVAL,到达/云坛口,OLDER_LOW_STAMINA,少走冤枉路并能回来,直接选择短路线/休息/返回,确定感+体力管理,大字+高对比+返回固定入口,路线信息不确定时fail-closed
R01,索道,FAMILY_CHILD,安全乘坐并看见两岸,找江/找两岸/看峰林,尺度发现,无强制屏幕；窗景优先,任何安全/运营异常关闭互动
R01,索道,YOUTH,理解跨江与高差感,短观察提示/摄影构图,空间尺度+分享,极短可选层,禁止长任务/到点触发
R01,索道,ADULT,交通+整体定位,看两岸/南岸网络方向,整体认知,地图缩略可选,不遮挡真实观看
R01,索道,OLDER_LOW_STAMINA,确认下站与回程,到站/回程信息,安全感,高可读文字+人工服务信息,游戏OFF
R05,红花石林,FAMILY_CHILD,发现峰形,找不同峰形/轮廓配对,自然注意力+共同游戏,低文本图形卡,拥挤/湿滑/回程紧迫时OFF
R05,红花石林,YOUTH,探索地形形态,轮廓匹配/摄影挑战,观察+轻挑战,可选收藏,不以打卡解锁路线
R05,红花石林,ADULT,看整体峰林而非碎片知识,整体观察+简短地貌解释,景观理解,先景观后内容,科学解释须核验
R05,红花石林,OLDER_LOW_STAMINA,找到停留/返回选择,短停+观看,休息+景观,清楚座靠/方向信息,高强度互动OFF
R06,河谷观察,FAMILY_CHILD,看懂江和两岸,找江/两岸/峰形,发现+空间启蒙,图形剖面+共同指认,天气差时只做近景
R06,河谷观察,YOUTH,判断河谷与步道位置,简化剖面推理,空间推理+探索,可交互剖面/模型,不显示伪精确数值
R06,河谷观察,ADULT,理解河谷整体与地方内容,景观观察+可选文化/自然深读,景观理解+知识,两阶段信息层,专家未核内容保持OPEN
R06,河谷观察,OLDER_LOW_STAMINA,休息并确认是否继续,休息+回程判断,恢复+确定感,F01优先+大字路线,疲劳触发内容降级
R07,仓禀峰／仓廪峰,FAMILY_CHILD,知道一个地方有两个写法,找字/地名卡,发现语言差异,双写明显,不让儿童承担纠错任务
R07,仓禀峰／仓廪峰,YOUTH,理解资料为什么会冲突,来源对比小卡,媒介素养+探索,可查看来源层,待现场牌示前不判定唯一正确
R07,仓禀峰／仓廪峰,ADULT,理解名称冲突边界,双写+来源说明,文化理解+证据意识,简短脚注,不占主视觉
R07,仓禀峰／仓廪峰,OLDER_LOW_STAMINA,不被名称干扰路线,路线名双写但方向统一,导航确定感,大字方向优先,故事可完全跳过
R09,盐水女神峰,FAMILY_CHILD,听一个可理解的地方故事,短音频/插画,故事兴趣,可选30-60秒内容,不制造史实等同
R09,盐水女神峰,YOUTH,人物与峰形对读,故事卡/角色关系,文化探索,可选深度,拥挤/返程优先时OFF
R09,盐水女神峰,ADULT,理解地方叙事而非神话包装,故事+来源边界,文化理解,LOCAL_NARRATIVE标签,不宣称古址
R09,盐水女神峰,OLDER_LOW_STAMINA,轻量听读不增加负担,短故事/休息时听,文化陪伴,大字/音频,可一键跳过
R12,廪君峰,FAMILY_CHILD,认识人物轮廓,找披风/人物形状,故事发现,图像辅助,不做历史考试
R12,廪君峰,YOUTH,对比廪君与盐水女神叙事,人物关系/选择式故事,叙事理解,可选内容分支,不取得路线主权
R12,廪君峰,ADULT,理解地方始祖叙事与景观命名,地方故事+文化背景,地域文化,来源边界清楚,不等同史址
R12,廪君峰,OLDER_LOW_STAMINA,听懂主要故事即可,短音频,文化陪伴,低密度,不强制停留
R13,一线天,FAMILY_CHILD,安全通过,只观察光线/岩壁不做搜寻,身体经验,娱乐任务OFF,狭窄/风险即只留导向安全
R13,一线天,YOUTH,感受身体尺度,步行通过+可选光线观察,身体/空间体验,无长文本,游戏OFF
R13,一线天,ADULT,理解空间收束并安全通过,短观察+方向/返回,空间体验,内容极简,不加新故事任务
R13,一线天,OLDER_LOW_STAMINA,知道能否通过/怎么返回,通过/绕行/返回信息,安全感,大字高对比+人工/实体导向,绕行只有现场证据后才显示
RETURN,回程/离场,FAMILY_CHILD,知道回家并留下一点记忆,在纸图上标记今天看过什么,完成感+家庭记忆,F04纸图/我的石书,不显示13/13缺失焦虑
RETURN,回程/离场,YOUTH,整理个人路线与内容,个人地图/可选收藏/分享,个人叙事+社交记忆,数字/纸质双轨,网络离线也可完成
RETURN,回程/离场,ADULT,把零散场景重新对应到路线,回看路线+旅札,理解+记忆,F03+F04+地图回顾,回程优先于新内容
RETURN,回程/离场,OLDER_LOW_STAMINA,顺利返回并保留简单记录,返程确认+纸图盖一枚可选印,确定感+纪念,最少步骤+人工服务,不新增深读
