page_id,legacy_order,legacy_identity_state,legacy_label,legacy_label_confidence,current_primary_chapter,current_role,mapping_action,mapping_state,cross_link,source_evidence,does_not_prove
C04-WEB-P001,1,BOUND_FROM_V1_8_CONTACT_OCR,Hero / Orientation,MEDIUM,CH00,PROJECT_FIRST_READ,MAP_TO_LEGACY,PROVISIONAL_BIND,,C04 Web v1.8 full 52-object contact,final canonical page content / final page count / Design PASS
C04-WEB-P002,2,BOUND_FROM_V1_8_CONTACT_OCR,Culture intro,MEDIUM,CH03,CULTURE_CONTENT_INPUT,MAP_TO_LEGACY,PROVISIONAL_BIND,,C04 Web v1.8 full 52-object contact,final canonical page content / final page count / Design PASS
C04-WEB-P003,3,BOUND_FROM_V1_8_CONTACT_OCR,Culture journey integrated,MEDIUM,CH03,CULTURE_TO_ACTION,EXPAND_FROM_LEGACY,OWNER_SPLIT_REVIEW,CH08,C04 Web v1.8 full 52-object contact,final canonical page content / final page count / Design PASS
C04-WEB-P004,4,BOUND_FROM_V1_8_CONTACT_OCR,Place Name / Local Story,MEDIUM,CH03,PLACE_STORY_CONTENT,MAP_TO_LEGACY,PROVISIONAL_BIND,,C04 Web v1.8 full 52-object contact,final canonical page content / final page count / Design PASS
C04-WEB-P005,5,BOUND_FROM_V1_8_CONTACT_OCR,Culture Memory,MEDIUM,CH15,MEMORY_NARRATIVE,MAP_TO_LEGACY,PROVISIONAL_BIND,CH03,C04 Web v1.8 full 52-object contact,final canonical page content / final page count / Design PASS
C04-WEB-P006,6,BOUND_FROM_V1_8_CONTACT_OCR,RICH Window + Return,LOW,,,PRESERVE,SOURCE_RECOVERY_REQUIRED,,C04 Web v1.8 full 52-object contact,final canonical page content / final page count / Design PASS
C04-WEB-P007,7,BOUND_FROM_V1_8_CONTACT_OCR,Culture Memory,MEDIUM,CH15,MEMORY_EXTENSION,MAP_TO_LEGACY,PROVISIONAL_BIND,CH03,C04 Web v1.8 full 52-object contact,final canonical page content / final page count / Design PASS
C04-WEB-P008,8,BOUND_FROM_V1_8_CONTACT_OCR,Journey Modes / Four Journeys,HIGH,CH09,ROUTE_MOBILITY_RETURN,MAP_TO_LEGACY,REWRITE_CURRENT_CONTENT,CH05|CH08,C04 Web v1.8 full 52-object contact,final canonical page content / final page count / Design PASS
C04-WEB-P009,9,SOURCE_RECOVERY_REQUIRED,,,,,PRESERVE,SOURCE_RECOVERY_REQUIRED,,Protected baseline identity,final canonical page content / final page count / Design PASS
C04-WEB-P010,10,SOURCE_RECOVERY_REQUIRED,,,,,PRESERVE,SOURCE_RECOVERY_REQUIRED,,Protected baseline identity,final canonical page content / final page count / Design PASS
