OLEANDER／织作｜资产迁移表 v1.0.1
"Authority: 00｜OLEANDER／织作｜命名与四层架构迁移基线. Migration-level HOLD count = 0; OPEN/E0 current objects are design work, not migration blockers."
旧文件名,新层级,正式节点,新资产编号 / Object ID,当前状态,证据等级,迁移动作,Canonical Path,来源位置,Hash / 校验,Case ID,说明,复核日期
OLEANDER_SYS_GOV_Migration-Register_SRC_v1.0.1_ACTIVE_E2_20260807.xlsx,Governance,GOV,SYS-GOV-Migration-Register-001,ACTIVE,E2,LINK_ONLY,Google Drive/OLEANDER_Project-Archive/00_Governance/Migration/,Generated in current session,待计算,,v1.0.1：关闭迁移级 HOLD，恢复 v0.4/v0.5 源文件并解除旧别名依赖。,2026-08-07
OLEANDER_AI_Design_Evaluation_Standard_v0.1.md,Business,B04,SYS-B04-AI-Evaluation-001,PROTO,E2,REBUILD_AS_NEW_OBJECT,Google Drive/OLEANDER_Project-Archive/01_Business/B04_Metrics-Governance/,Conversation generated / legacy Drive archive,待计算,,评价标准文本。 保留证据门槛，不继承旧文件名。,2026-08-07
OLEANDER_AI_Evaluation_Record.schema.json,Business,B04,SYS-B04-AI-Evaluation-001,PROTO,E2,REBUILD_AS_NEW_OBJECT,Google Drive/OLEANDER_Project-Archive/01_Business/B04_Metrics-Governance/,Conversation generated / legacy Drive archive,待计算,,机器可读记录 Schema。 保留证据门槛，不继承旧文件名。,2026-08-07
evaluate_oleander_design.py,Business,B04,SYS-B04-AI-Evaluation-001,PROTO,E2,REBUILD_AS_NEW_OBJECT,Google Drive/OLEANDER_Project-Archive/01_Business/B04_Metrics-Governance/,Conversation generated / legacy Drive archive,待计算,,执行脚本。 保留证据门槛，不继承旧文件名。,2026-08-07
Cross_Media_Validation_Report.md,Business,B04,SYS-B04-Cross-Media-Validation-001,PROTO,E2,REBUILD_AS_NEW_OBJECT,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-06_B04_Cross-Media-Validation/,Conversation generated / legacy Drive archive,待计算,,跨媒介内部验证报告；结论保持 provisional。,2026-08-07
OLEANDER_个人品牌视觉传播系统_v0.1.md,Business,B01,SYS-B01-System-Baseline-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/Business/,File Library,待计算,,旧项目框架；P01/P02/P03 不再作为现行编号。,2026-08-07
OLEANDER_Cross_Media_Validation_2026-08-06.zip,Business,B04,SYS-B04-Cross-Media-Validation-001,ARCHIVED,E2,ARCHIVE_READ_ONLY,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-06_B04_Cross-Media-Validation/,Conversation generated / legacy Drive archive,待计算,,旧命名完整包。,2026-08-07
OLEANDER_织造文化品牌系统_v0.3.md,Culture,CU02,SYS-CU02-Knowledge-Baseline-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/Culture/,File Library,待计算,,旧系统定义；按四层架构拆分重写。,2026-08-07
CURRENT OBJECT｜IP-IA-001,IP,IP01,IP-IA-001,OPEN,E1,REBUILD_AS_NEW_OBJECT,Google Drive/OLEANDER_Project-Archive/03_IP/IP01_Identity-Naming/IP-IA-001/,Legacy v0.4 recovered；IP-IA-001_STATUS.md,Current source not issued,,现行身份架构对象；旧 v0.4 仅作历史证据，必须按四层架构重建。,2026-08-07
CURRENT OBJECT｜IP-LK-001,IP,IP03,IP-LK-001,OPEN,E0,REBUILD_AS_NEW_OBJECT,Google Drive/OLEANDER_Project-Archive/03_IP/IP03_Visual-Verbal-System/IP-LK-001/,IP-LK-001_STATUS.md,Current source not issued,,现行组合关系／锁定载体对象；旧 R4C-G2 不再构成依赖。,2026-08-07
CURRENT OBJECT｜IP-WM-001,IP,IP03,IP-WM-001,OPEN,E0,REBUILD_AS_NEW_OBJECT,Google Drive/OLEANDER_Project-Archive/03_IP/IP03_Visual-Verbal-System/IP-WM-001/,IP-WM-001_STATUS.md,Current source not issued,,现行主字标对象；旧 v0.8.1 不再构成依赖。,2026-08-07
OLEANDER_Dynamic_Field_Interactive.html,IP,IP03,IP-MO-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-06_IP03_Motion-Prototype/,Conversation generated / legacy Drive archive,待计算,,交互动态原型。 不能替代核心身份标志。,2026-08-07
OLEANDER_Dynamic_Field_Prototype.gif,IP,IP03,IP-MO-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-06_IP03_Motion-Prototype/,Conversation generated / legacy Drive archive,待计算,,辅助动态身份原型。 不能替代核心身份标志。,2026-08-07
logo_motion_contact_sheet.png,IP,IP03,IP-MO-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-06_IP03_Motion-Prototype/,Conversation generated,待计算,,动态关键帧比较记录。,2026-08-07
02_identity_blind_read_contact_sheet.png,IP,IP03,IP-WM-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-07_IP03_Visual-Hierarchy-Test/,Conversation generated / legacy Drive archive,待计算,,盲读刺激材料；无真实参与者结果。,2026-08-07
03_external_validation_user_test_v0.2.html,IP,IP03,IP-WM-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-07_IP03_Visual-Hierarchy-Test/,Conversation generated / legacy Drive archive,待计算,,可执行测试工具，不是测试结论。,2026-08-07
04_analyze_actual_results.py,IP,IP03,IP-WM-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-07_IP03_Visual-Hierarchy-Test/,Conversation generated / legacy Drive archive,待计算,,无 CSV 时必须返回 BLOCKED。,2026-08-07
05_v0.7-R1_physical_print_test_sheet.pdf,IP,IP03,IP-WM-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-07_IP03_Visual-Hierarchy-Test/,Conversation generated / legacy Drive archive,待计算,,打印测试文件，不代表实体生产通过。,2026-08-07
A_equal.png,IP,IP03,SYS-IP03-Visual-Hierarchy-Test-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-07_IP03_Visual-Hierarchy-Test/,Conversation generated,待计算,,A 等权变体。 参数仅为练习用假设。,2026-08-07
B_hierarchy.png,IP,IP03,SYS-IP03-Visual-Hierarchy-Test-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-07_IP03_Visual-Hierarchy-Test/,Conversation generated,待计算,,B 层级变体。 参数仅为练习用假设。,2026-08-07
C_counterpoint.png,IP,IP03,SYS-IP03-Visual-Hierarchy-Test-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-07_IP03_Visual-Hierarchy-Test/,Conversation generated,待计算,,C 非对称变体。 参数仅为练习用假设。,2026-08-07
OLEANDER_Modular_Grid_Comparison.png,IP,IP03,SYS-IP03-Visual-Hierarchy-Test-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-07_IP03_Visual-Hierarchy-Test/,Conversation generated,待计算,,三变体比较图。 参数仅为练习用假设。,2026-08-07
OLEANDER_视觉系统母版_v0.4.svg,IP,IP01,IP-IA-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Identity/LEGACY__OLEANDER_视觉系统母版_v0.4.svg,File Library file_00000000529081f5af8b588f3edbbbbc；Drive 1UdM-OcnO4XhWkCNMWydrywf9OErLkmtF,0f51238f6d747f988e9650434761e6daa2df4eb1cb9e8a2ddaff48d05a39ebec,,原始 SVG 已定位；XML 可解析、无重复 ID、无外部引用。只作为 IP-IA-001 历史证据。,2026-08-07
README_v0.7-R1.md,IP,IP01,IP-WM-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Identity/,File Library,待计算,,记录 G2/G3/G4 未完成及非最终商标边界。,2026-08-07
OLEANDER_O_16px_v0.7-R1.png,IP,IP03,IP-IC-001,LEGACY,E1,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 SHA256SUMS_v0.7-R1.txt,,O 技术回退尺寸样本。,2026-08-07
OLEANDER_O_Micro_v0.7-R1.svg,IP,IP03,IP-IC-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,Conversation import / File Library,见 SHA256SUMS_v0.7-R1.txt,,O Micro 历史技术回退。,2026-08-07
OLEANDER_O_Micro_v0.7.svg,IP,IP03,IP-IC-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 OLEANDER_v0.7_BASELINE_SHA256.txt,,技术回退 O；不是独立标识。,2026-08-07
OLEANDER_AND_48px_v0.7-R1.png,IP,IP03,IP-LK-001,LEGACY,E1,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 SHA256SUMS_v0.7-R1.txt,,AND 上下文尺寸样本。,2026-08-07
OLEANDER_AND_Responsive_v0.7-R1.svg,IP,IP03,IP-LK-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,Conversation import / File Library,见 SHA256SUMS_v0.7-R1.txt,,AND 响应式历史候选。,2026-08-07
OLEANDER_AND_Responsive_v0.7.svg,IP,IP03,IP-LK-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 OLEANDER_v0.7_BASELINE_SHA256.txt,,上下文依赖的 AND 单元；不得直接成为新组合标识。,2026-08-07
OLEANDER_Visual_Hierarchy_Board_v0.5.svg,IP,IP03,IP-TM-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,待计算,,旧视觉层级板；方法可参考，文件命名和状态需迁移。,2026-08-07
OLEANDER_Construction_Grid_v0.7.svg,IP,IP03,IP-WM-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 OLEANDER_v0.7_BASELINE_SHA256.txt,,旧构造网格；作为 IP-WM-001 比较输入。,2026-08-07
OLEANDER_Logo_Reconstruction_Spec_v0.6.md,IP,IP03,IP-WM-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,待计算,,AND 逻辑可作为比较输入；旧字形被否决，不得继承版本。,2026-08-07
OLEANDER_Logo_Small_Size_QA_v0.6.png,IP,IP03,IP-WM-001,LEGACY,E1,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,待计算,,旧小尺寸 QA 板。,2026-08-07
OLEANDER_Optical_Audit_v0.7.svg,IP,IP03,IP-WM-001,LEGACY,E1,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 OLEANDER_v0.7_BASELINE_SHA256.txt,,旧光学校验记录。,2026-08-07
OLEANDER_Reproduction_Standard_v0.7.svg,IP,IP03,IP-WM-001,LEGACY,E1,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 OLEANDER_v0.7_BASELINE_SHA256.txt,,旧复制与制版记录。,2026-08-07
OLEANDER_Wordmark_140px_v0.7-R1.png,IP,IP03,IP-WM-001,LEGACY,E1,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 SHA256SUMS_v0.7-R1.txt,,完整名称尺寸样本。,2026-08-07
OLEANDER_Wordmark_Master_v0.7-R1.svg,IP,IP03,IP-WM-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,Conversation import / File Library,见 SHA256SUMS_v0.7-R1.txt,,source-clean 正形候选；只能作为比较输入。,2026-08-07
OLEANDER_Wordmark_Master_v0.7.svg,IP,IP03,IP-WM-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 OLEANDER_v0.7_BASELINE_SHA256.txt,,旧字标正形；不得继承为 IP-WM-001 的版本。,2026-08-07
OLEANDER_Wordmark_Reverse_v0.7-R1.svg,IP,IP03,IP-WM-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,Conversation import / File Library,见 SHA256SUMS_v0.7-R1.txt,,source-clean 反白候选；只能作为比较输入。,2026-08-07
OLEANDER_Wordmark_Reverse_v0.7.svg,IP,IP03,IP-WM-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,见 OLEANDER_v0.7_BASELINE_SHA256.txt,,旧字标反白；不得继承为 IP-WM-001 的版本。,2026-08-07
VALIDATION_v0.7-R1.txt,IP,IP03,IP-WM-001,LEGACY,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,待计算,,自动几何与像素等价记录；不等于识别通过。,2026-08-07
OLEANDER_Identity_Application_v0.6.svg,IP,IP04,IP-AP-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,待计算,,历史应用证明，不是当前应用规范。,2026-08-07
FONT_AND_ASSET_NOTES_v0.6.txt,IP,IP04,IP-TY-001,LEGACY,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Identity/,File Library,待计算,,字体与轮廓来源记录；授权链仍需复核。,2026-08-07
[未定位] R4C-G2 Canonical Vector Source,IP,IP03,IP-LK-001,DEPRECATED,E0,LINK_ONLY,Notion/OLEANDER／织作/资产迁移表 v1.0.0/Legacy Alias,旧 Notion 别名；Files、Drive、GitHub Jiaosong/Design 未定位文件,N/A,,旧别名已解除现行依赖，不再阻塞 IP-LK-001；禁止从预览图重建。,2026-08-07
[未定位] Wordmark v0.8.1 Production File,IP,IP03,IP-WM-001,DEPRECATED,E0,LINK_ONLY,Notion/OLEANDER／织作/资产迁移表 v1.0.0/Legacy Alias,旧 Notion 别名；Files、Drive、GitHub Jiaosong/Design 未定位文件,N/A,,旧别名已解除现行依赖，不再阻塞 IP-WM-001；禁止用 v0.7/v0.7-R1 改名替代。,2026-08-07
OLEANDER_Logo_Primary_v0.5.svg,IP,IP03,IP-SM-001,REJECTED,E1,ARCHIVE_READ_ONLY,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/REJECTED__OLEANDER_Logo_Primary_v0.5.svg,File Library file_00000000555881f7961bd097268c86ec；Drive 1cfkdia-k4SqllyOXMnhbiMPXmIqBQeBq,b598cf9a84c958d8c2f89c42d41fabd426b8ac9126ab9803b2ed8270a6ac8888,,原始 SVG 已定位并只读归档；用户否决结论不变，禁止进入 IP-SM-001。,2026-08-07
OLEANDER_v0.7_BASELINE_SHA256.txt,IP,IP01,IP-WM-001,ARCHIVED,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Identity/,File Library,文件本身为 Hash 清单,,旧 v0.7 文件校验索引。,2026-08-07
SHA256SUMS_v0.7-R1.txt,IP,IP01,IP-WM-001,ARCHIVED,E1,COPY_TO_ARCHIVE,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Identity/,Conversation import,文件本身为 Hash 清单,,v0.7-R1 校验索引。,2026-08-07
OLEANDER_Logo_System_Board_v0.5.svg,IP,IP03,IP-SM-001,ARCHIVED,E1,ARCHIVE_READ_ONLY,Google Drive/OLEANDER_Project-Archive/99_Archive/IP/Visual-Verbal/,File Library,待计算,,v0.5 决策与失败记录。,2026-08-07
OLEANDER_Visual_Grid_01_Blocker_Resolution_v0.2_2026-08-07.zip,IP,IP03,SYS-IP03-Visual-Hierarchy-Test-001,ARCHIVED,E2,ARCHIVE_READ_ONLY,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-07_IP03_Visual-Hierarchy-Test/,Conversation generated / legacy Drive archive,待计算,,旧命名证据包；新编号只用于治理，不升级为视觉规范。,2026-08-07
01_system_comparison.png,Spatial,SP02,SYS-SP02-Relational-Field-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-06_SP02_Relational-Field/,Conversation generated,待计算,,A/B/C 系统比较。,2026-08-07
02_selected_work_state_B.png,Spatial,SP02,SYS-SP02-Relational-Field-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-06_SP02_Relational-Field/,Conversation generated,待计算,,State B 选择结果；仅为设计判断。,2026-08-07
OLEANDER_Relation_Rule_System_Work_2026-08-06.zip,Spatial,SP02,SYS-SP02-Relational-Field-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-06_SP02_Relational-Field/,Conversation generated,待计算,,关系—规则—系统练习包。,2026-08-07
OLEANDER_Relational_Field_01_State_B.3dm,Spatial,SP02,SYS-SP02-Relational-Field-001,PROTO,E2,RETAIN_TEST_RECORD,Google Drive/OLEANDER_Project-Archive/06_Practice/2026/2026-08-06_SP02_Relational-Field/,Conversation generated,644dd36bbdd8303aa8f0b51ed34e8f00dbfcd0f7a1e9f9a9eae46ee8ea68cc41,,Rhino 8 练习模型；不含真实场地或工程数据。,2026-08-07
