object_id,system,name,current_merged_pointer,concept_state,presentation_state,truth_state,latest_candidate,owner_next_delta,downstream_note
J01,JOURNEY,Arrival_Service,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,REDRAW_MAIN_CANDIDATE,FIELD_OPEN,,Journey/Service,Web/F consume only
J02,JOURNEY,BOAT_Water_View,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,NOT_YET_SHOWN_STRONGLY,RELATIONAL_SOURCE_ONLY,,Journey/Service,Do not invent live operation
J03,JOURNEY,CABLE_Aerial_View,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_CANDIDATE,RELATIONAL_SOURCE_ONLY,,Journey/Service,Moving view first
J04,JOURNEY,WALK_Mountain_Network,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_CANDIDATE,RELATIONAL_NOT_SURVEY,,Journey/Service,Branching-loop network
J05,RETURN,Return_Retreat,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_CANDIDATE,FIELD_OPEN,,Return,Independent layer
J06,SERVICE,No_Phone_Fallback,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,SUPPORT_TO_MAIN,FIELD_OPEN,,Service,Paper-signage-human service
R01,13_IMPRINTS,红岩嘴,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,MAIN_SUPPORT,SOURCE_GROUNDED_FIELD_OPEN,,Scene/Content,No forced UI
R02,13_IMPRINTS,华中第一藤,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP_EVIDENCE_OPEN,CURRENTIZE,EXPERT_OPEN,,Scene/Content,Species-age open
R03,13_IMPRINTS,铁券天书,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,CURRENTIZE,GEOLOGY_SOURCE_GATE,,Scene/Content,No invented geology
R04,13_IMPRINTS,母子相望_母子峰,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,CURRENTIZE,NARRATIVE_FACT_SEPARATE,,Scene/Content,Name/form only
R05,13_IMPRINTS,红花石林,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,MAIN_CANDIDATE,LANDSCAPE_PIXEL_HOLD,PR#133,Scene/Content,Official Honghua source pixel still gap
R06,13_IMPRINTS,多级阶地_不对称河谷,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,MAIN,FIELD_EXPERT_OPEN,PR#133|PR#145,Scene/Content,Landscape first + optional proof
R07,13_IMPRINTS,仓禀峰_仓廪峰,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP_NAME_OPEN,MAIN_SUPPORT,NAME_OPEN,,Scene/Content,Preserve dual spelling
R08,13_IMPRINTS,文山天书,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,CURRENTIZE,GEOLOGY_OPEN,,Scene/Content,No unverified lithology
R09,13_IMPRINTS,盐水女神峰,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,MAIN_CANDIDATE,STORY_NOT_SITE_PROOF,,Scene/Content,Local story
R10,13_IMPRINTS,绝壁天书,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,CURRENTIZE,GEOLOGY_OPEN,,Scene/Content,Texture observation
R11,13_IMPRINTS,金石为开,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,CURRENTIZE,FIELD_OPEN,,Scene/Content,Body-fissure relation
R12,13_IMPRINTS,廪君峰,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,MAIN_CANDIDATE,STORY_SITE_EQUIVALENCE_PROHIBITED,,Scene/Content,Culture view
R13,13_IMPRINTS,一线天,C04_R01-R13_CANONICAL_SCENE_REGISTER_v1.0,KEEP,MAIN,SOURCE_GROUNDED_FIELD_SAFETY_OPEN,PR#145,Scene/Content,Passage first / Return
D01,DIGITAL,C04_Digital_UI_Detail_System_v0.6,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_CURRENTIZE,REDRAW_MAIN_CANDIDATE,BEHAVIOR_BOUNDARY_OPEN,PR#140|PR#144|PR#162,USER_OWNED_NEXT,Do not redesign in organization/Web lanes
D02,DIGITAL,QJE_Portable_Prototype,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,SUPPORT_TO_MAIN_AFTER_VISUAL,PROTOTYPE_NOT_FIELD,PR#111,USER_OWNED_NEXT,Behavior proof only
D03,DIGITAL,TODAY,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_CANDIDATE,NO_PSEUDO_LIVE,PR#162,USER_OWNED_NEXT,App latest candidate snapshot
D04,DIGITAL,ROUTE_Game_Map,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_UPGRADE,MAIN_REQUIRED,RELATIONAL_NOT_SURVEY,PR#144|PR#162,USER_OWNED_NEXT,No task-gated navigation
D05,DIGITAL,READ_REVEAL,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_CANDIDATE,SCENE_EVIDENCE_OPEN,PR#162,USER_OWNED_NEXT,Optional reading
D06,DIGITAL,MY_BOOK,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_UPGRADE,MAIN_REQUIRED,NO_COMPLETION_SCORE,PR#153|PR#162,USER_OWNED_NEXT,Digital memory hero
D07,DIGITAL,SERVICE_RETURN,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_CANDIDATE,FAIL_CLOSED_BEHAVIOR,PR#162,USER_OWNED_NEXT,Always accessible
D08,DIGITAL,Digital_Silence_Offline,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,SUPPORT,PROTOTYPE_BEHAVIOR,,USER_OWNED_NEXT,Not public chapter
D09,DIGITAL,Reality_Delivery_State_Model,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,PROCESS_SUPPORT,PROCESS_NOT_FIELD,,Digital behavior support,Do not dominate public story
D10,DIGITAL,Finale_Optional_Share,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_REVISE_UI,MAIN_VIA_MEMORY,NO_SCORE,,USER_OWNED_NEXT,After journey only
P01,PHYSICAL,步步生光,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_PRIMARY_CANDIDATE,MAIN_REQUIRED,FIELD_TECH_OPEN,PR#143,Physical/Product,Scene fit + technical proof required
P02,PHYSICAL,栏杆式可拆卸倚靠休息板,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP,MAIN_SUPPORT,FIELD_LOAD_ATTACHMENT_OPEN,PR#143|PR#159,Physical/Product,Short recovery support
P03,PHYSICAL,山体流体休憩装置_v1,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,COMPETE_CONDITIONAL,REDRAW_SUPPORT,FIELD_SITE_ENGINEERING_OPEN,PR#151|PR#159,Physical/Product,Design identity separate from model/public board
P04,PHYSICAL,山体流体休憩装置_v2,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,COMPETE_WITH_P03,PROCESS_SUPPORT,FIELD_SITE_ENGINEERING_OPEN,PR#151,Physical/Product,Do not show as equal second final
P05,PHYSICAL,清风吟,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_REDUCE,MAIN_SUPPORT_CANDIDATE,FIELD_MOUNTING_ECOLOGY_OPEN,PR#152|PR#159,Physical/Sensory,Low-density sensory secondary
P06,TECHNICAL,F01_technical_descendant,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_TECH_PROOF,SUPPORT_TECH_MAIN,FIELD_ENGINEERING_OPEN,PR#143,Technical,Does not replace Physical universe
P07,TECHNICAL,F02_optional_reading,C04_EXISTING_DESIGN_ASSET_ATLAS_v1.0,KEEP_CONDITIONAL,SUPPORT,FIELD_PLACEMENT_OPEN,,Technical/Service,Avoid signage proliferation
