source_id,source_family,source_filename,canonical_role,source_state,downstream_relation,project_rule
ODB-01,DIGITAL_SERVICE,"清江石书：山水服务探索界面.png",DIGITAL_APP_MEMORY_RELATION,"USER ORIGINAL DESIGN SOURCE / PRESERVE","App currentization; Game Map; Web/story carriers","descendants do not replace source identity"
ODB-02,PHYSICAL_BODY,"可拆卸倚靠休息板.png",RAILING_LEANING_REST_BOARD,"USER ORIGINAL DESIGN SOURCE / PRESERVE","C23 details; technical drawings; model/section; Web presentation","technical proof is descendant"
ODB-03A,PHYSICAL_BODY,"山体流体休憩装置.png",MOUNTAIN_FLUID_REST,"USER ORIGINAL DESIGN SOURCE / PRESERVE","3D/model/body/assembly; Web presentation","model Hero verdict does not delete design identity"
ODB-03B,PHYSICAL_BODY,"山体流体休憩装置2.png",MOUNTAIN_FLUID_REST_APPLICATION,"USER ORIGINAL DESIGN SOURCE / PRESERVE","3D/model/body/assembly; Web presentation","later package is derived development"
ODB-04A,SENSORY_MEMORY,"清风吟1.png",QINGFENGYIN_KEEPSAKE_PRODUCT,"USER ORIGINAL DESIGN SOURCE / PRESERVE","sensory currentization; brand/memory presentation","later support status does not demote source"
ODB-04B,SENSORY_MEMORY,"清风吟2.png",QINGFENGYIN_SCENE_SYSTEM,"USER ORIGINAL DESIGN SOURCE / PRESERVE","scene/physical/brand presentation","model decision is downstream only"
ODB-04C,SENSORY_MEMORY,"清风吟3.png",QINGFENGYIN_TEN_PART_NARRATIVE,"USER ORIGINAL DESIGN SOURCE / PRESERVE","story/motion/memory presentation","preserve narrative identity"
ODI-01,PHYSICAL_INTERACTION,"步步生光",STEP_LIGHT,"USER ORIGINAL DESIGN IDENTITY / PRESERVE","current presentation may HOLD/PROCESS","pixel verdict != design deletion"
ODI-02,MEMORY,"清江旅记",PHYSICAL_MEMORY_HERO,"USER ORIGINAL DESIGN IDENTITY / PRESERVE","Web/currentization/brand carriers","carrier != source"
ODI-03,DIGITAL_MEMORY,"我的石书",DIGITAL_MEMORY_HERO,"USER ORIGINAL DESIGN IDENTITY / PRESERVE","App/Web currentization","App candidate != source"
ODI-04,MEMORY_EXTENSION,"清江一线",SELECTIVE_MEMORY_EXTENSION,"USER ORIGINAL DESIGN IDENTITY / PRESERVE","Web/memory presentation","presentation status != identity"
ODI-05,SENSORY_MEMORY,"清江雾气",SENSORY_MEMORY_EXTENSION,"USER ORIGINAL DESIGN IDENTITY / PRESERVE","Web/memory presentation","presentation status != identity"
ODI-06,MEMORY_IP,"红花峰崽",FAMILY_CHILD_MEMORY_IP,"USER ORIGINAL DESIGN IDENTITY / PRESERVE","Web/memory/family presentation","presentation status != identity"
