page_id,rev04_action,sha256,status
PAGE-01,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,9541335cae5e3b1f20d624bdc8a9e392f30d50fe979990f4ba28c41cb5f17301,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-02,NARROW_REVISE,14d6607492d5cb29ed7c2392979530175b143970fd6077c19fc5ba1c24264da7,EXECUTED / REVISE
PAGE-03,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,f8f2d5dd875e9ce01565f75dce8a3d663ec6d92010877252e4e82a2748bc8a4e,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-04,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,3c8ce95da2c70c77481af963b1089076738ade7a1962f5317f12f90bd7f24ad3,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-05,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,95089497fd76165d7e0564abee8aeec12840caa952b52dd78a6e367565102fbe,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-06,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,d9467c2a65e4d25e8e41ed2b0092e14103e43a849d08817aeb69a71f3030e4d4,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-07,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,a69e93d20ec9ad66dc95849eaa07386bfab7a60d5c458bdde6fca057e4184b0a,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-08,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,1c35ec2f7b4028b9977a9a52ad3f5dd3a8f2ec992194d93ba751ac911c416a90,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-09,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,013d06dad25ac2b7a1f3fc5b00fc6f0e68d66b17b50858828b2bd81f22506260,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-10,NARROW_REVISE,a97010c85a768a7e19e17e5f5669aa253359563ef2d6fc2a42b2c9d7ba6fd06d,EXECUTED / REVISE
PAGE-11,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,e16a207988d17e321490e3ff93d9eb240d74f44ccfb57c059f32a4cceca70191,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-12,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,80115860d83a898f896c02178650da0dd91852093ff043a4c0810b0c508ebf4f,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-13,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,07d225a02af9544375b59e25cf13c57e2652f8e1bf96d7c64f4434b212983cd8,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-14,NARROW_REVISE,ef31164889007fe0593930007c13e0780e76f7b9e35b934a3ce1e509542dc187,EXECUTED / REVISE
PAGE-15,NARROW_REVISE,5fbe9bdbe2f35bd14256b7250e9c9876d41f637614056a8dd7a767ebd530927f,EXECUTED / REVISE
PAGE-16,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,4283af909b9228b3157d4b83e0e8c2948a76dd1cf02ecce88f2b327101863036,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-17,NARROW_REVISE,b9038c35e4cee68f3a6b960fe9f07e08666f93550e523dc74c3171972acf8f21,EXECUTED / REVISE
PAGE-18,NARROW_REVISE,d175f4f2d98d74cc15e8e8cc8e500b448d5b395bfa9da86720a3291d0c0190b5,EXECUTED / REVISE
PAGE-19,CARRY_FORWARD_BYTE_IDENTICAL_FROM_REV03,ec6e478ff369ecaf5245e2a98365d878076290bcfb07fec361db106d684298e3,KEEP / CARRIED FROM REV03 INDEPENDENT REVIEW
PAGE-20,NARROW_REVISE,4ebc114bb0c423c68936ce172b40357ece23c2e4ac1b6577d98b3547cd6f08b3,EXECUTED / REVISE
