Theme,XJ01,JD,Failure Lexicon,Amazon Reviewed,Cross-source Status,Design Implication
Lightness / Low Burden ↔ Heaviness,"Strong repeated positive signal: light, easy to pick up/use; electric alternatives described as heavy.",Repeated platform-visible signal: light / not tiring; solidity also appears.,Heaviness = canonical failure; Lightness × Credibility is a governing tension.,Mop: direct heaviness failure; squeegee: direct heaviness; bucket: imbalance/heaviness + positive lightness in value rows.,CONVERGENCE,"Protect visual/physical low burden, but test credibility separately; do not equate lighter colour with better."
Clean Result / Water Removal / Streak,"Strong: clean floor, absorbency, low residual water/watermarks.","Strong: absorbency, less residual water, easy rinse.",Maintenance/Hygiene gates; streak is not canonical but directly relevant.,Squeegee shows direct poor water removal/streak failures and positive no-streak counter-evidence; mop/brush show task-effectiveness failures.,CONVERGENCE + EXTENSION,Add water-removal/streak and task-effectiveness as product-specific validation gates; CMF cannot substitute for cleaning performance.
Simple Operation / Mechanism / Affordance,"Strong: installation, push-pull wringing, head change, low-contact operation.",Ease of use and grip appear.,Jamming/Stiction + Mechanical Interface failure.,"Mop: opening/wringing force, sticking mechanism, instruction/affordance failures. Bucket: pedal intermittency, collapse difficulty, assembly failures.",CONVERGENCE + EXTENSION,"Signal/texture grammar must be validated at actual mechanism nodes; add force, assembly and discoverability tasks."
Softness / Bristle Stiffness / Material–Task Fit,Strong product-specific value: PU remains soft and avoids hardening.,Repeated soft/not-hardening signal.,Hardening = canonical failure.,Cleaning brushes show the opposite risk: bristles that are too soft reduce cleaning effectiveness.,CONTRADICTION BY PRODUCT FUNCTION,Do not universalize 'soft = good'. Contact-zone material semantics must be task-specific: PU softness good for sponge mop; brush stiffness must retain scrubbing efficacy.
Compact Storage / Spatial Fit,Repeated bathroom/wall-hanging and low-space value.,Compactness appears with a coverage trade-off.,Soil/maintenance and storage context are relevant; Storage Bulk not canonical.,Bucket shows collapse effort and size/context fit; squeegee compact storage positive; brush off-floor storage positive.,CONVERGENCE + EXTENSION,Validate storage volume together with deployment effort and cleaning coverage; compactness is not a standalone win.
Reliability / Breakage / Rust / Looseness / Flimsiness,Perceived quality and durability language exists; some durability claims are user inference.,Sturdy/solid language plus short-term damage counterexamples.,"Rust, Breakage, Looseness, Burr are canonical or tracked risks.","Direct bucket rust/breakage/leakage, squeegee breakage/looseness, mop/brush flimsiness and interface failures.",STRONG CONVERGENCE,"Appearance–Performance Coherence becomes a hard gate; premium finish cannot compensate for weak joints, corrosion or cheapness perception."
Appearance / Colour / Context Integration,Appearance is explicitly valued; exact hue preference unknown.,Appearance/colour-positive language appears; no controlled hue preference.,Appearance–Performance Coherence gate.,"Brush/squeegee rows directly show appearance attraction and bathroom-fixture integration, including cases where attractive products were judged functionally weak/cheap.",CONVERGENCE,"Appearance is legitimate value, but specific hue/finish remains unvalidated. Context integration and credibility should be separate perceptual axes."
Hygiene / Easy Maintenance,Easy cleaning/rinsing and wet-zone use repeat.,Easy rinse / low maintenance repeat.,"Soil Retention, Odour, Yellowing, Dirt Visibility retained as hygiene/ageing gates.",Brush shows off-floor storage/easy-clean benefits; bucket/mop evidence reinforces wet-system mechanism and corrosion risks.,CONVERGENCE,"Test real rinse recovery, drainage, wet storage and surface cleanliness rather than 'clean-looking' colour alone."
Leakage / Sealing,No strong direct failure evidence in selected sample.,Not a dominant current Baojiajie signal.,Not canonical in v0.1.,Direct bucket sealing/leakage failures; positive no-leak counter-evidence also appears.,EXTENSION,Promote Leakage/Sealing to External Candidate; validate bucket/wet-system joints before canonical promotion.
Scale / Reach / Coverage / Grip,Long-handle/low-burden context exists; detailed dimensional preference not established.,Compactness vs coverage and grip/solid handle appear.,Not a single canonical failure term.,Brush: too short/small; squeegee: handle too small/short; bucket: capacity/context fit; positive reach/fit also appears.,EXTENSION,Add product-topology-specific scale/reach/grip checks; avoid using CMF to visually miniaturize a product already near coverage limits.
