branch,sha,committed_at,subject,classification,protected_reason
agent/2026-08-25-cn-trans-e2-sync,eee275e177e6dbdb6be20069d70f6aa328904526,2026-08-25 22:07:41 +0800,governance: sync KN-DESIGN-CN-TRANS-001 evidence state to E2,SAFE_DELETE_MERGED_REF,
agent/2026-08-26-apoc-omg-namespace-sync,ce6ecf426f3f6afc9cf15e6cdb3568504e64718c,2026-08-26 03:02:15 +0800,governance: sync A-POC method namespace to OMG,SAFE_DELETE_MERGED_REF,
agent/2026-08-26-autoprogettazione-e2-sync,60a2949fbe74e4a7f0888ffbd16e46dd4ca1dc0b,2026-08-26 04:01:04 +0800,governance: sync Autoprogettazione evidence metadata,SAFE_DELETE_MERGED_REF,
agent/2026-08-26-exploration-motion-review-boundary,6809c14477bb6d317947408b99940cf5373019f5,2026-08-26 21:06:44 +0800,governance: separate exploration training readback from independent review,SAFE_DELETE_MERGED_REF,
agent/2026-08-26-long-life-change-e2-sync,c32aa0a5f8ce1490eb639ca121178d754e34ee26,2026-08-26 00:04:52 +0800,governance: sync MTH-DESIGN-LONG-LIFE-CHANGE-001 evidence state to E2,SAFE_DELETE_MERGED_REF,
agent/2026-08-26-metabolism-governance-sync,0381d17ebc1c3c1c23c77408f5e5409ea1ec6d73,2026-08-26 02:03:30 +0800,governance: align Metabolism mirror with current lifecycle evidence,SAFE_DELETE_MERGED_REF,
agent/2026-08-26-mot02-review-boundary,603fa49bb88853a656e995a6f3947c2cd2f906b1,2026-08-26 19:02:40 +0800,governance: separate MOT-02 execution check from design review,SAFE_DELETE_MERGED_REF,
agent/2026-08-26-participatory-design-sync,2fb912e637937a970afe0e248eaf752ef595f254,2026-08-26 05:04:50 +0800,governance: sync participatory design current theory,SAFE_DELETE_MERGED_REF,
agent/2026-08-27-design-environment-production-contract,700e0cda4f8e5122b3b994e33038ca819142686f,2026-08-27 13:23:35 +0800,Governance: bind Current design production contract to universal environment,SAFE_DELETE_MERGED_REF,
agent/2026-08-27-existing-first-policy,a472fd2c9f7c88bc6c1bf297dc7b62c894074e12,2026-08-27 23:31:45 +0800,Skills: add machine-readable existing-first policy,SAFE_DELETE_MERGED_REF,
agent/2026-08-27-existing-first-policy-check,a472fd2c9f7c88bc6c1bf297dc7b62c894074e12,2026-08-27 23:31:45 +0800,Skills: add machine-readable existing-first policy,SAFE_DELETE_MERGED_REF,
agent/2026-08-27-human-professional-voice,754c898e56f33e96f4a4a10a7312cd3fcd7d77d4,2026-08-27 23:39:44 +0800,Skills: bind human professional voice constraint,SAFE_DELETE_MERGED_REF,
agent/2026-08-27-pro-design-toolchain-runtime,f708fa146aec5dc8125b0ae8553ba9e94ece8b93,2026-08-27 15:47:35 +0800,Runtime: prevent validation from implying automatic Active promotion,SAFE_DELETE_MERGED_REF,
agent/2026-08-27-skill-framework-11-core,fb928afeab9013d6cd789b6373097c2d0361c87c,2026-08-27 23:06:15 +0800,skills: remove unrelated Baojiajie SVG from framework PR,SAFE_DELETE_MERGED_REF,
agent/2026-08-27-ui-figma-explicit-only,6f2b26e2d1e4977252208a2a52f8abd4c5a7be11,2026-08-27 13:51:12 +0800,CI: validate explicit-only Figma routing invariant,SAFE_DELETE_MERGED_REF,
agent/2026-08-28-training-mode-refinement,c2598059e513d8f6b6614d1a02b888463eb1c22b,2026-08-28 08:31:46 +0800,Governance: separate bounded training from project queue,SAFE_DELETE_MERGED_REF,
agent/2026-08-28-work-coordination-state-readback,e82031d0c8949b91822934e1dd13bee50acd939b,2026-08-28 00:37:33 +0800,Governance: mark work coordination contract Current Active after readback,SAFE_DELETE_MERGED_REF,
agent/2026-08-28-work-object-coordination,4b5feb7c2de9cd9c231043bd9636b71724bba94c,2026-08-28 00:30:46 +0800,Governance: add project control card template,SAFE_DELETE_MERGED_REF,
agent/2026-08-29-design-process-owner-map-sync,75ebf002e4465ce9f6a8bec4027c849cf60cec94,2026-08-29 20:08:13 +0800,GOVERNANCE: sync installed design-process owner map,SAFE_DELETE_MERGED_REF,
agent/add-reno-cmf,5b7e52d90a90e6f389dc6d60189c2e2758c519e4,2026-07-25 09:45:07 +0800,Add Reno CMF case study and portrait,SAFE_DELETE_MERGED_REF,
agent/automotive-proportion-section-v0-11,1d5e3da965aa7e5e75d8c6cd523ea6f301798200,2026-08-13 09:26:56 +0800,Automotive v0.11: approve formal promote review,SAFE_DELETE_MERGED_REF,
agent/banana-vision-reference-verification,90a46a7c8acfaf6a071d62f51c5b75e6d53b87cd,2026-08-07 17:21:42 +0800,Draft Banana Vision Studio reference pending source verification,SAFE_DELETE_MERGED_REF,
agent/banana-vision-reference-verification-backup,90a46a7c8acfaf6a071d62f51c5b75e6d53b87cd,2026-08-07 17:21:42 +0800,Draft Banana Vision Studio reference pending source verification,SAFE_DELETE_MERGED_REF,
agent/banana-vision-reference-verification-final,90a46a7c8acfaf6a071d62f51c5b75e6d53b87cd,2026-08-07 17:21:42 +0800,Draft Banana Vision Studio reference pending source verification,SAFE_DELETE_MERGED_REF,
agent/banana-vision-reference-verification-keep,90a46a7c8acfaf6a071d62f51c5b75e6d53b87cd,2026-08-07 17:21:42 +0800,Draft Banana Vision Studio reference pending source verification,SAFE_DELETE_MERGED_REF,
agent/blender-surface-system-v1-16-0,6aa980f9ae2b7138ebe9129e3e078e99d6a6ee7d,2026-08-11 16:05:43 +0800,Pin Blender Surface System workflow action refs,SAFE_DELETE_MERGED_REF,
agent/blender-surface-system-v1-17-0,de6aa5e6337f8a883c22865036c1f5a22118eb72,2026-08-11 19:45:20 +0800,docs(blender): record v1.17 catalog debug and evidence calls,SAFE_DELETE_MERGED_REF,
agent/blender-surface-system-v1-18-0,af71e8766972d40214fa9a9027ce48242015d249,2026-08-11 22:37:11 +0800,Retrigger canonical v1.18.0 governance gate after branch cleanup,SAFE_DELETE_MERGED_REF,
agent/blender-surface-system-v1-19-0,1ca9c3e45ef2dc5b4edf918cfd34e2e583244bdb,2026-08-11 23:27:37 +0800,Rebase v1.19 designer estimate gate after SP01 mainline merge,SAFE_DELETE_MERGED_REF,
agent/c04-c22-v4-8-image-rebind-20260819,41d3fe5e3081a2e89a86816ae74e04f91cf08629,2026-08-20 00:22:14 +0800,C04 C22 v4.8: add human-readable image rebind receipt,SAFE_DELETE_MERGED_REF,
agent/c04-ch02-web-008-012-v1-20260819,97f7eaf30c04b4cedfb80f8c95a4d2eaf2beb0b5,2026-08-19 17:21:11 +0800,Merge PR #322: close image consumption governance receipt,SAFE_DELETE_MERGED_REF,
agent/c04-ch13-page-decisions-current-v0-2,2c880a4fdc383b3f8e58ba80f22d44ad2b74bcc6,2026-08-19 22:33:48 +0800,C04 CH13: point Current production map to v0.2,SAFE_DELETE_MERGED_REF,
agent/c04-ch13-page-decisions-v0-2,9eac5a01b05a69b480e0c588f3b6e0bb7a9077d0,2026-08-19 22:32:08 +0800,C04 CH13: add machine-readable page decisions v0.2,SAFE_DELETE_MERGED_REF,
agent/c04-ch13-visual-map-closure-v0-1,bc94a7d8017a41431112ebb496333233c22162ca,2026-08-19 22:22:20 +0800,C04 CH13: mark visual production map Current in JSON,SAFE_DELETE_MERGED_REF,
agent/c04-ch13-visual-map-receipt-v0-1,08048ca4a1f3319d4d376aa00fd2a8389ebddf0c,2026-08-19 22:24:55 +0800,C04 CH13: persist closed visual production-map execution receipt,SAFE_DELETE_MERGED_REF,
agent/c04-ch13-visual-production-map-v0-1,28726c004bb4d38a615217a3fec18b80ddefbc00,2026-08-19 22:17:43 +0800,C04 CH13: add machine-readable visual production map v0.1,SAFE_DELETE_MERGED_REF,
agent/c04-ch16-p01-image-reservation-v0-1,4cd997bef976d65ce7b75dd2964c3420e5b5bd76,2026-08-20 00:24:01 +0800,C04 C22 v4.8: rebind unique water-ink source,SAFE_DELETE_MERGED_REF,
agent/c04-ch16-p01-v3-1-public-pixel-correction,20beb6eca0968ef30e343ffa207b2f697fba42f6,2026-08-19 13:58:46 +0800,C04 CH16-P01 v3.1: correct v3.0 review scope,SAFE_DELETE_MERGED_REF,
agent/c04-ch16-p01-v3-2-replan-no-odb02,6f3c6f3d838acc574b37d0336266acdb3fc44d50,2026-08-19 16:33:56 +0800,Add single current pointer for CH16 P01 v3.2,SAFE_DELETE_MERGED_REF,
agent/c04-ch16-p01-v3-3-resource-led-interactive,10fb19da90aebe16e4ad748c6aacd64e9c8734b3,2026-08-19 16:51:49 +0800,c04 ch16 p01 v3.3: bind runtime readback state,SAFE_DELETE_MERGED_REF,
agent/c04-f-integration-loop-v2,b6a22789e57e2db2190bd78de6edda8aa7678e9d,2026-08-14 23:16:28 +0800,C04 F: refresh runtime state from C19 and B/D/E receipts,SAFE_DELETE_MERGED_REF,
agent/c04-gis-data-frontier-v0-7-1-20260818,d5efca89160965c5727a632ddea27b70a0da206d,2026-08-18 15:39:13 +0800,C04 GIS v0.7.1: bind independent review handoff,SAFE_DELETE_MERGED_REF,
agent/c04-gis-skill-v0-7-20260818,2f7fb98ac70db781a1a58b59238baa2eece173b2,2026-08-18 15:13:08 +0800,C04 GIS v0.7: add independent review request,SAFE_DELETE_MERGED_REF,
agent/c04-gis-v0-2-1-review-request-20260818,4ca26f68668ed5fb1e9fb6159b35054728f348e8,2026-08-18 13:24:56 +0800,C04 GIS v0.2：真实地形派生与运营冲突证据包,SAFE_DELETE_MERGED_REF,
agent/c04-gis-v0-2-1-review-request-20260818b,7eb10cce5c5df6066f3a5cab1a18c78d313d109f,2026-08-18 13:44:12 +0800,C04 GIS v0.2.1：记录Drive独立取回与哈希,SAFE_DELETE_MERGED_REF,
agent/c04-gis-v0-7-2-stable-ids-20260818,a276d964feb964f91b46c4b388af6f00ab88e4e9,2026-08-18 15:48:07 +0800,C04 GIS v0.7.2: record source delta,SAFE_DELETE_MERGED_REF,
agent/c04-j02-presentation-grammar-repair-20260906,ef9a56c9965e917cb5283abba4d8393c712ad2d9,2026-09-06 21:26:55 +0800,C04 J02: currentize boat carrier for low-attention visitor use,SAFE_DELETE_MERGED_REF,
agent/c04-j02-presentation-repair-20260906,3f7373f0f1fe9d853ca83657c24c38d0a74ff39a,2026-09-06 18:29:06 +0800,C04 DESIGN: materialize J02 boat water-scale experience carrier,SAFE_DELETE_MERGED_REF,
agent/c04-j04-presentation-decision-panel-r01,3ff9b30f3711db47a714720c3e89fdd97bddb265,2026-09-07 04:29:15 +0800,design(c04): repair J04 topology and decision-point read,SAFE_DELETE_MERGED_REF,
agent/c04-p02-presentation-body-contact-r01-20260907,3ff9b30f3711db47a714720c3e89fdd97bddb265,2026-09-07 04:29:15 +0800,design(c04): repair J04 topology and decision-point read,SAFE_DELETE_MERGED_REF,
agent/c04-p02-presentation-contact-read-20260907,7393b01c2c743255261d2cf04bd8b49fc72c2049,2026-09-07 00:37:00 +0800,governance: restore design-process capability aggregate parity,SAFE_DELETE_MERGED_REF,
agent/c04-presentation-m01-artifact-reframe-20260905,3794d3eacf52392611bdb98a4df6f31aa189c8a0,2026-09-05 09:42:21 +0800,fix governance: validate whole-project aggregate queue slots,SAFE_DELETE_MERGED_REF,
agent/c04-r01-focal-preflight,964fb12d44ae9eeab3a5644a5b934c5ea2f50886,2026-08-12 23:43:12 +0800,govern Baojiajie licensed portrait assets as locked sources,SAFE_DELETE_MERGED_REF,
agent/c04-ws07a-runtime,8713d2f32afd15dc110296dc30f62f3904082ce9,2026-08-12 00:02:29 +0800,Merge pull request #49 from Jiaosong/agent/c04-ws07a-runtime,SAFE_DELETE_MERGED_REF,
agent/deploy-oleander-pages,6c1904722386b5b23ef6760c19a8e7ea8e588703,2026-07-25 09:34:38 +0800,Deploy Oleander website with GitHub Pages,SAFE_DELETE_MERGED_REF,
agent/execution-contract-layer-v0-1,07e0ea686d73f4d174f3d65cf497abeef05db495,2026-08-18 13:19:56 +0800,Promote execution contract layer v0.1 to current,SAFE_DELETE_MERGED_REF,
agent/governance-c04-control-card-readback-20260829-0302,7331ff228d6146ff07d088adf28af79a5b53248e,2026-08-29 03:06:08 +0800,Governance: refresh C04 control card from current PR #353 readback,SAFE_DELETE_MERGED_REF,
agent/governance-c04-priority-control-card-20260829,32931b635e4b827640bfc119c26237ef83dba8ba,2026-08-29 00:19:01 +0800,governance: add C04 current project control card,SAFE_DELETE_MERGED_REF,
agent/governance-sync-contract-v1-1-20260815,055b05dc217797712286166ae777348cb00dd861,2026-08-15 09:37:15 +0800,C04: enforce dual quality gate and retro-crit QJ-D visual sprint,SAFE_DELETE_MERGED_REF,
agent/modeling-worker-v0-12-freeform-surface,06bfcc3360fa980ce1c06023e090c87a6b307e17,2026-08-13 21:45:29 +0800,Integrate latest main governance into Modeling Worker v0.12 candidate,SAFE_DELETE_MERGED_REF,
agent/notion-to-github-execution-owner,b06911004be96d0e7d2cebcc6d4aa1e5c756713c,2026-08-18 11:22:30 +0800,Wire execution owner map into runtime index,SAFE_DELETE_MERGED_REF,
agent/oleander-asset-consumption-closure-v1,e2f15b56c379ea19a205e37bb698d0cfe597c8c2,2026-08-19 17:17:28 +0800,OLEANDER: require Current image-consumption register states,SAFE_DELETE_MERGED_REF,
agent/oleander-asset-consumption-v1,78829b968deafd7949f167e9276d8c1533a5eb07,2026-08-19 17:11:38 +0800,OLEANDER: document image-consumption receipt extension,SAFE_DELETE_MERGED_REF,
agent/oleander-blender52-shared-runtime,d1ea2f1afcafba3ffd3a9df065b61b81c0607ecf,2026-08-11 11:11:42 +0800,Add OLEANDER Blender runtime contract workflow,SAFE_DELETE_MERGED_REF,
agent/oleander-image-consumption-receipt-v1,666e9b1ce66017db4abe35ac28120441b6223da9,2026-08-19 17:20:29 +0800,OLEANDER: record image-consumption governance closure receipt,SAFE_DELETE_MERGED_REF,
agent/oleander-motion-skill-v0.3-rebase,46ed1258cfeb9f7f50af41d9a502f098ef8e3531,2026-08-11 23:45:01 +0800,Rebase complete OLEANDER motion skill + atlas v0.3 onto current main,SAFE_DELETE_MERGED_REF,
agent/oleander-notion-canonical-knowledge-v01-20260911,ea1bbb1d3a34ac9e505f1bc80d0f24f3e089aacc,2026-09-12 13:44:45 +0800,docs(knowledge): record reader and academic migration,SAFE_DELETE_MERGED_REF,
agent/oleander-notion-d04-academic-20260912,808c46af75528f10a424295593cfd2edb9f28eaf,2026-09-12 14:03:21 +0800,docs(knowledge): record D04 academic migration,SAFE_DELETE_MERGED_REF,
