candidate_record_id,authoring_candidate_id,title_or_scope,chapter,provenance,id_collision_state,mapping_action,mapping_state,current_frontier_note,n_series_id,does_not_prove
CH11-P09@v0.1-expansion,CH11-P09,Information Architecture｜完整App信息架构,CH11,v0.1 expansion,ID_COLLISION / DISTINCT_CONTENT / RENAME_REQUIRED_BEFORE_PID,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Digital candidate; no mission/completion/second-route authority,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH11-P10@v0.1-expansion,CH11-P10,Cross-screen Journey｜TODAY→ROUTE→READ→MY BOOK→RETURN,CH11,v0.1 expansion,ID_COLLISION / DISTINCT_CONTENT / RENAME_REQUIRED_BEFORE_PID,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Digital candidate; no mission/completion/second-route authority,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH11-P11@v0.1-expansion,CH11-P11,State Matrix｜NORMAL/DEGRADED/CLOSED/UNKNOWN × FULL/LIGHT/OFF,CH11,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Digital candidate; no mission/completion/second-route authority,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH11-P12@v0.1-expansion,CH11-P12,Component System｜地图、按钮、状态、Reveal、Return、字体、图标,CH11,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Digital candidate; no mission/completion/second-route authority,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH11-P13@v0.1-expansion,CH11-P13,Motion Grammar｜Discover / Reveal / Withdraw / Return,CH11,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Digital candidate; no mission/completion/second-route authority,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH11-P14@v0.1-expansion,CH11-P14,Offline / Failure States｜断网、未加载、状态未知、路线关闭、低电量,CH11,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Digital candidate; no mission/completion/second-route authority,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH12-P08@v0.1-expansion,CH12-P08,,CH12,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Preserve candidate content; CH12 v0.4 A01–A09 is current scene framing,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH12-P09@v0.1-expansion,CH12-P09,,CH12,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Preserve candidate content; CH12 v0.4 A01–A09 is current scene framing,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH12-P10@v0.1-expansion,CH12-P10,,CH12,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Preserve candidate content; CH12 v0.4 A01–A09 is current scene framing,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
CH12-P11@v0.1-expansion,CH12-P11,,CH12,v0.1 expansion,NO_ID_COLLISION,EXPAND_FROM_LEGACY,NO_PID / MATERIAL-INDEPENDENCE REVIEW REQUIRED,Preserve candidate content; CH12 v0.4 A01–A09 is current scene framing,UNALLOCATED,NEW CANONICAL PAGE / DESIGN PASS
