content_id,source_origin,domain,name_cn,scene_candidate,interaction_candidate,audience_priority,claim_state,public_rule
CUL-001,SRC-ENS-GUIDE,LOCAL_STORY,红岩嘴,R01,看岩壁与跨江尺度,ALL,SOURCE_MATERIAL,景点名称/可见特征可用；地质成因需A/专家核验
CUL-002,SRC-ENS-GUIDE,LOCAL_PRACTICE,许愿树,COMPANION,愿望卡/纸质记录,FAMILY|YOUTH|ADULT,SOURCE_MATERIAL,民俗/景区解说材料；不宣称愿望实现因果
CUL-003,SRC-ENS-GUIDE,LANDSCAPE,一线天,R13,光线与身体通过观察,ALL,SOURCE_MATERIAL,景观名称可用；安全/裂隙成因保持FIELD/EXPERT OPEN
CUL-004,SRC-ENS-GUIDE,LANDSCAPE,红花石林,R05,找峰形/整体峰林观察,FAMILY|YOUTH|ADULT,SOURCE_MATERIAL,观察与名称可用；形成年代/数量需核验
CUL-005,SRC-ENS-GUIDE,LOCAL_STORY,金石为开,COMPANION,廪君故事轻解谜/听故事,YOUTH|ADULT,LOCAL_NARRATIVE,传说与地质解释必须分层
CUL-006,SRC-ENS-GUIDE,LOCAL_STORY,廪君峰,R12,人物轮廓/地方故事,YOUTH|ADULT|OLDER,LOCAL_NARRATIVE,不得等同古代史址
CUL-007,SRC-ENS-GUIDE,LANDSCAPE,绝壁天书,COMPANION,纹理观察/找不同,FAMILY|YOUTH|ADULT,SOURCE_MATERIAL,岩性与年代需A/专家核验
CUL-008,SRC-ENS-GUIDE,LOCAL_STORY,盐水女神峰,R09,故事音频/人物与峰形对读,YOUTH|ADULT|OLDER,LOCAL_NARRATIVE,不得等同古代史址
CUL-009,SRC-ENS-GUIDE,LANDSCAPE,文山天书,COMPANION,岩层像书页的观察,FAMILY|YOUTH|ADULT,SOURCE_MATERIAL,地质科学解释需当前证据支持
CUL-010,SRC-ENS-GUIDE,LOCAL_STORY,仓廪峰,R07,地名故事/名称辨析,ALL,SOURCE_MATERIAL,当前必须双写仓禀峰／仓廪峰并待现场牌示
CUL-011,SRC-ENS-COMP,CRAFT,西兰卡普,GENERAL,纹样拼接/数字织造,FAMILY|YOUTH|ADULT,CONTENT_RESERVOIR,需在地文化/权利复核后进入FULL
