variable_id,object_or_relation,current_value_or_state,evidence_class,allowed_use,forbidden_use,replacement_evidence
INT-PV-01,Dagong_Hall_group,approximately_500_m2,PUBLISHED_CONTEXT,macro_scale_context,net_usable_area_or_occupancy,current_measured_building_documentation
INT-PV-02,main_tower_overall_height,approximately_10_m,PUBLISHED_RECENT_DESCRIPTION,vertical_envelope_plausibility,floor_to_floor_or_ceiling_datum,current_section_or_measured_height
INT-PV-03,first_floor_main_hall_area,more_than_100_m2,PUBLISHED_RECENT_DESCRIPTION,gross_area_plausibility,exact_plan_or_safe_occupancy,current_measured_plan
INT-PV-04,four_through_columns,three_storey_relation,MULTI_SOURCE_RELATION,avoid_fixed_attachment_and_preserve_clearance,column_spacing_diameter_capacity,current_measured_plan_and_structural_evidence
INT-PV-05,perimeter_columns,eight_eave_columns_described,PUBLISHED_DESCRIPTION,non_free_plan_awareness,exact_bay_grid,current_measured_plan
INT-PV-06,entry,offset_and_qualitatively_narrow,QUALITATIVE_OBSERVATION,bottleneck_risk_only,door_width_accessible_clearance_egress_capacity,current_measurement_and_fire_accessibility_review
INT-PV-07,rear_hall_side_rooms,older_two_rooms_each_side_plus_semi_open_hall,TEMPORALLY_WEAKER_RELATION,spillout_hypothesis,current_room_program_or_geometry,current_site_capture_or_plan
INT-PV-08,RCP_services,UNKNOWN,NOT_EVIDENCED,open_interface_only,coordinated_RCP,current_ceiling_service_survey_and_consultant_inputs
INT-PV-09,floor_threshold_accessibility,UNKNOWN,NOT_EVIDENCED,require_fallback_route,accessible_indoor_claim,current_accessibility_geometry_review
INT-PV-10,fire_egress_capacity,UNKNOWN,NOT_EVIDENCED,none,verified_20_30_person_capacity,current_occupancy_fire_egress_review
