object_id,design_name,source_type,primary_chapter,primary_page_unit,cross_chapter_bindings,design_role,current_presentation_role,technical_field_gate,downstream_rule
ODB-01,清江石书：山水服务探索界面,USER_ORIGINAL_BOARD,CH11,CH11-P01|CH11-P03|CH11-P04|CH11-P07,CH18-P02|CH15-P03|CH15-P04,DIGITAL_SERVICE_DESIGN_SOURCE,SOURCE_EVOLUTION_SUPPORT,ROUTE03_CURRENTIZATION_AND_PIXEL_REVIEW,ORIGINAL_BOARD_INFORMS_CURRENT_APP_BUT_IS_NOT_FORCED_AS_MAIN_PIXEL
ODB-02,红花峰栏杆式可拆卸倚靠休息板,USER_ORIGINAL_BOARD,CH13,CH13-P02|CH13-P03,CH12-P03|CH12-P05|CH17|CH18-P03,PHYSICAL_BODY_SHORT_RECOVERY,KEEP_HIGH_PRIORITY_SUPPORT,NOT_LOCATED_FIELD_ENGINEERING_OPEN,C23_MODEL_DETAIL_ARE_DESCENDANT_PROOF_NOT_ORIGIN
ODB-03A,山体流体休憩装置 v1,USER_ORIGINAL_BOARD,CH13,CH13-P05|CH13-P06,CH17|CH18-P03,LANDSCAPE_BODY_LONGER_REST,COMPETE_CONDITIONAL_SUPPORT,LOCATION_HOLD_FIELD_ENGINEERING_OPEN,ONE_STRONGEST_ITERATION_ONLY_FOR_PUBLIC_READING
ODB-03B,山体流体休憩装置 v2,USER_ORIGINAL_BOARD,CH13,CH13-P05|CH13-P06,CH17|CH18-P03,LANDSCAPE_BODY_LONGER_REST_ITERATION,PROCESS_SUPPORT,LOCATION_HOLD_FIELD_ENGINEERING_OPEN,DESIGN_DEVELOPMENT_NOT_EQUAL_SECOND_FINAL_OBJECT
ODB-04A,清风吟1｜Keepsake Packaging Product Family,USER_ORIGINAL_BOARD,CH15,CH15-P05|CH15-P06,CH14_APPLICATION_ONLY,MEMORY_CULTURAL_PRODUCT_EXTENSION,SUPPORT_OPTIONAL,MANUFACTURING_PRICING_OPERATOR_RIGHTS_OPEN,BRAND_CAN_APPLY_BUT_CANNOT_OWN_DESIGN_SOURCE
ODB-04B,清风吟2｜Wind Tree Scene System,USER_ORIGINAL_BOARD,CH13,CH13-P07,CH12_IF_SITE_BOUND|CH18-P03,ONSITE_WIND_SENSORY_SYSTEM,WIND_SENSORY_CANDIDATE_HOLD,RESPONSE_MECHANISM_ECOLOGY_SOUND_MAINTENANCE_LOCATION_OPEN,DO_NOT_MODEL_YET_APPLIES_TO_MODEL_ONLY
ODB-04C,清风吟3｜Ten-part Sensory Memory Narrative,USER_ORIGINAL_BOARD,CH15,CH15-P01|CH15-P05,CH13-P07,SENSORY_MEMORY_NARRATIVE_SOURCE,SUPPORT,NO_FORCED_TEN_TASKS_OR_TEN_INSTALLATIONS,NARRATIVE_CONTINUITY_SOURCE_NOT_ROUTE_AUTHORITY
ODI-01,步步生光,USER_ORIGINAL_DESIGN_IDENTITY,CH13,CH13-P04,CH17|CH18-P03,TRANSIENT_BODY_INTERACTION,KEEP_CONCEPT_SELECTION_HOLD,DAYLIGHT_SLIP_DRAINAGE_POWER_MAINTENANCE_OPEN,HOLD_DOES_NOT_DELETE_DESIGN_IDENTITY
ODI-02,清江旅记,USER_ORIGINAL_DESIGN_IDENTITY,CH15,CH15-P02,CH09|CH11-P08|CH19,PHYSICAL_MEMORY_HERO,MAIN_REQUIRED,PRINT_MANUFACTURING_OPERATOR_OPEN,NOT_A_13_STAMP_COMPLETION_BOOKLET
ODI-03,我的石书,USER_ORIGINAL_DESIGN_IDENTITY,CH15,CH15-P03,CH11-P07,MEMORY_SYSTEM_WITH_DIGITAL_IMPLEMENTATION,MAIN_REQUIRED,APP_PIXEL_AND_RUNTIME_REVIEW_OPEN,CH15_OWNS_MEMORY_MEANING_CH11_OWNS_UI_IMPLEMENTATION
ODI-04,清江一线,USER_ORIGINAL_DESIGN_IDENTITY,CH15,CH15-P05,CH14_APPLICATION_OPTIONAL,PHYSICAL_MEMORY_EXTENSION,SUPPORT_OPTIONAL,PRODUCT_MATERIAL_DEFINITION_OPEN,ONE_CLEAR_REMEMBERED_VARIABLE
ODI-05,清江雾气,USER_ORIGINAL_DESIGN_IDENTITY,CH15,CH15-P05,CH13_SENSORY_REFERENCE_OPTIONAL,SENSORY_MEMORY_EXTENSION,SUPPORT_OPTIONAL,FORMULA_MANUFACTURING_COMMERCIAL_FEASIBILITY_OPEN,NO_UNSUPPORTED_HEALTH_OR_SELENIUM_CLAIMS
ODI-06,红花峰崽,USER_ORIGINAL_DESIGN_IDENTITY,CH15,CH15-P05,CH04_AUDIENCE,FAMILY_CHILD_MEMORY_IP,OPTIONAL_FAMILY_LAYER,CHARACTER_APPLICATION_AND_PRODUCTION_OPEN,NO_MISSION_MASTER_OR_COLLECTIBLE_GRIND
