object_id,object_name,object_class,primary_chapter,primary_role,cross_chapters,technical_or_evolution_descendants,current_state,hard_boundary
QJ-REAL-01,真实清江山水与游程,REAL_QINGJIANG,CH08,MASTER_EXPERIENCE,"CH00|CH01|CH02|CH05|CH09|CH12|CH19",CH17,"ACTIVE / PROJECT SUBJECT","REAL QINGJIANG FIRST"
ROUTE-03,Current Route Geometry,ROUTE,CH09,FUNCTIONAL_ROUTE_AUTHORITY,"CH05|CH08|CH12|CH14|CH19","CH16|CH17|CH18","KEEP / LOCKED CURRENT","NO SECOND ROUTE GEOMETRY"
RT-FAMILY,Route / Return Physical Touchpoint Family,ROUTE_RETURN_PHYSICAL,CH09,FUNCTIONAL_TOUCHPOINT_FAMILY,"CH12|CH14|CH19","CH16|CH17|CH18","NEW / DEVELOP","LOCATION / OPERATION OPEN"
CABLE-CHOR,Cable Experience Choreography,JOURNEY_EXPERIENCE,CH09,MOBILITY_EXPERIENCE,"CH08|CH12",CH18,"DEVELOP / NO OBJECT ASSUMED","NO MID-CROSSING FORCED UI OR NEW OBJECT"
R01-R13,Thirteen Imprints,OPTIONAL_READING,CH10,CONTENT_INTERACTION_OWNER,"CH03|CH08|CH11|CH12|CH15",CH18,"KEEP / DEEPEN","ROUTE != CONTENT ORDER / PARTIAL IS COMPLETE"
ODB-01,清江石书：山水服务探索界面,DIGITAL_SOURCE,CH11,DIGITAL_SOURCE_AND_IMPLEMENTATION,"CH08|CH09|CH10|CH12|CH15","CH16|CH18","ACTIVE ORIGINAL SOURCE / CURRENTIZE","LATER APP DOES NOT REPLACE SOURCE IDENTITY"
APP-CURRENT,Digital Companion / App,DIGITAL,CH11,BEHAVIOR_IA_UI,"CH08|CH09|CH10|CH12|CH14|CH15|CH19","CH16|CH18","KEEP / DEEPEN / CANDIDATE LINEAGE","ROUTE-03 BOUND / NO MISSION-COMPLETION AUTHORITY"
ODB-02,P02 栏杆式可拆卸倚靠休息板,PHYSICAL,CH13,BODY_RECOVERY_SUPPORT,"CH08|CH12","CH16|CH17|CH18","KEEP / HIGH PRIORITY / NOT LOCATED","BODY SUPPORT != FALL PROTECTION"
ODB-03A-B,山体流体休憩装置 family,PHYSICAL,CH13,LONGER_REST_CANDIDATE,"CH08|CH12","CH16|CH17|CH18","PRESERVE / COMPETE / LOCATION HOLD","NO V3 FORM EXPANSION BEFORE SITE-FIT"
ODI-01,步步生光,PHYSICAL_INTERACTION,CH13,TRANSIENT_FEEDBACK,"CH08|CH12","CH16|CH17|CH18","KEEP CONCEPT / SELECTION HOLD","STEP -> RESPONSE -> FADE / NO SCORE-COLLECT"
ODB-04B,清风吟2 Wind Tree / onsite sensory,SENSORY_PHYSICAL,CH13,ONSITE_WIND_SENSORY,"CH02|CH08|CH12|CH14","CH16|CH17|CH18","HOLD / TEST","EXISTING SENSORY RESOURCE > GENERATED EFFECT"
BRAND-CH14,清江石书 Brand / VI,BRAND,CH14,IDENTITY_GRAMMAR,"CH09|CH11|CH13|CH15|CH19",CH18,"ACTIVE SYSTEM / DESIGN GATE SEPARATE","NO ROUTE / SAFETY / LIVE STATE AUTHORITY"
ODI-02,清江旅记 / Qingjiang Journal,MEMORY_PHYSICAL,CH15,MEMORY_HERO,"CH09|CH11|CH14|CH19","CH16|CH17|CH18","KEEP / MEMORY MAIN / REQUIRED","PARTIAL IS COMPLETE / NOT TASK BOOK"
ODI-03,我的石书 / My Book,MEMORY_DIGITAL,CH15,MEMORY_OBJECT_MODEL,"CH11|CH19","CH16|CH18","KEEP / ONE IDENTITY","CH11 OWNS UI IMPLEMENTATION ONLY"
ODB-04A,清风吟1 keepsake / packaging,MEMORY_PRODUCT,CH15,TAKE_AWAY_PRODUCT,"CH14|CH19","CH16|CH18","KEEP / OPTIONAL MEMORY FAMILY","NOT COMPLETION REWARD"
ODB-04C,清风吟3 sensory-memory narrative,MEMORY_NARRATIVE,CH15,MEMORY_NARRATIVE,"CH13|CH19",CH18,"KEEP / FAMILY CONTINUITY","NOT TEN SITE TASKS"
ODI-04,清江一线,MEMORY_EXTENSION,CH15,SECONDARY_MEMORY,"CH14|CH19",CH18,"SUPPORT / OPTIONAL","NO NEW MEMORY UNIVERSE"
ODI-05,清江雾气,MEMORY_EXTENSION,CH15,SENSORY_MEMORY,"CH03|CH19",CH18,"SUPPORT / OPTIONAL","NO HEALTH / SELENIUM CLAIM"
ODI-06,红花峰崽,MEMORY_IP,CH15,FAMILY_CHILD_OPTIONAL_IP,"CH04|CH19",CH18,"SUPPORT / OPTIONAL","NOT ADULT ROUTE MASCOT OR MISSION MASTER"
SC-R01,R01 Cable Scene,KEY_SCENE,CH12,SCENE_INTEGRATION,"CH08|CH09|CH10|CH11",CH18,"KEEP / SCENE PROOF","MOVING VIEW FIRST"
SC-R06,R06 Experience,KEY_SCENE,CH12,FROZEN_SCENE_INTEGRATION,"CH08|CH10|CH11|CH13","CH16|CH17|CH18","FINISHED / FROZEN / NO REOPEN","LANDSCAPE FIRST -> RELATION REVEAL"
SC-R13,R13 Passage / Return Scene,KEY_SCENE,CH12,WITHDRAWAL_SCENE_INTEGRATION,"CH08|CH09|CH10|CH11|CH19",CH18,"KEEP AFTER REVISION / SOURCE-FIELD OPEN","PASS: BODY+ROUTE ON / READ+PLAY OFF"
C22-C23-MDL,C22/C23/model descendants,TECHNICAL_PROOF,CH17,PROOF_ONLY,"CH12|CH13|CH16",CH18,"SUPPORT / PROOF","TECHNICAL OR MODEL PASS DOES NOT OWN DESIGN SOURCE"
