asset_id,domain,name,concept_state,presentation_state,narrative_axes,primary_value,current_action
J01,JOURNEY,Arrival_Service,KEEP,REDRAW_MAIN_CANDIDATE,N2,orientation_service_return,redesign_as_experience_not_dashboard
J02,JOURNEY,BOAT_Water_View,KEEP,NOT_YET_SHOWN_STRONGLY,N2|N3,water_scale_sound_long_view,create_strong_journey_visual
J03,JOURNEY,CABLE_Aerial_View,KEEP,MAIN_CANDIDATE,N2|N3,transport_plus_moving_view,show_transport_and_view_without_forced_UI
J04,JOURNEY,WALK_Mountain_Network,KEEP,MAIN_CANDIDATE,N2|N3,body_terrain_close_observation,preserve_branching_network
J05,SERVICE,Return_Retreat,KEEP,MAIN_CANDIDATE,N2|N3,certainty_safety_return,raise_visual_maturity
J06,SERVICE,No_Phone_Fallback,KEEP,SUPPORT_TO_MAIN,N2,paper_signage_human_service,integrate_with_game_map
R01,THIRTEEN_IMPRINTS,红岩嘴,KEEP,MAIN_SUPPORT,N2|N3,moving_view_orientation,no_forced_UI
R02,THIRTEEN_IMPRINTS,华中第一藤,KEEP_EVIDENCE_OPEN,CURRENTIZE,N1|N3,plant_time_observation,expert_open
R03,THIRTEEN_IMPRINTS,铁券天书,KEEP,CURRENTIZE,N1|N3,rock_process_observation,source_gate_geology
R04,THIRTEEN_IMPRINTS,母子相望_母子峰,KEEP,CURRENTIZE,N1|N3,local_naming_form,keep_narrative_fact_separation
R05,THIRTEEN_IMPRINTS,红花石林,KEEP,MAIN_CANDIDATE,N2|N3,peak_forest_find_compare,landscape_first
R06,THIRTEEN_IMPRINTS,多级阶地_不对称河谷,KEEP,MAIN,N2|N3,valley_spatial_reasoning,field_expert_open
R07,THIRTEEN_IMPRINTS,仓禀峰_仓廪峰,KEEP_NAME_OPEN,MAIN_SUPPORT,N1|N3,place_name_culture,preserve_name_conflict
R08,THIRTEEN_IMPRINTS,文山天书,KEEP,CURRENTIZE,N1|N3,surface_layer_culture,no_unverified_lithology
R09,THIRTEEN_IMPRINTS,盐水女神峰,KEEP,MAIN_CANDIDATE,N1|N3,local_story_audio,story_not_site_proof
