chapter,primary_responsibility,base_authoring_units,base_source,current_frontier,producer_surface_state,mapping_status,canonical_page_count_effect
CH00,Project definition / first read,2,v0.1/CH00_PROJECT-DEFINITION.md,v0.1 authoring / real Qingjiang first-read,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH01,Problem and opportunity,5,v0.2/CH01_PROJECT-PROBLEM-OPPORTUNITY.md,v0.3 authoring successor; standalone CH01 v1.1 producer PR #297 exists,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH02,Site / landscape / sensory evidence,5,v0.1/CH02_SITE-LANDSCAPE-ANALYSIS.md,v0.3 authoring successor / site-evidence owner,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH03,Culture / content observability input,4,v0.1/CH03_CULTURE-CONTENT-ANALYSIS.md,v0.3 authoring successor / culture-content input owner,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH04,Audience / use-state analysis,6,v0.1/CH04_AUDIENCE-USE-STATE-ANALYSIS.md,v0.3 authoring successor; CH04–CH06 producer set exists on PR #287,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH05,Journey / behavior analysis,4,v0.1/CH05_JOURNEY-BEHAVIOR-ANALYSIS.md,v0.3 authoring successor; CH04–CH06 producer set exists on PR #287,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH06,Design principles,5,v0.1/CH06_DESIGN-PRINCIPLES.md,v0.3 authoring successor; CH04–CH06 producer set exists on PR #287,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH07,Design methods,4,v0.1/CH07_DESIGN-METHODS.md,v0.3 authoring successor; dedicated Web rebuild lineage exists,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH08,Master experience orchestration,6,v0.2/CH08_MASTER-STRATEGY-EXPERIENCE-SYSTEM.md,CH08 v0.4 Master Design Strategy / WHOLE → RELATION → BODY,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH09,Route / mobility / service / functional Return,5,v0.1/CH09_ROUTE-MOBILITY-SERVICE.md,ROUTE-03 locked + RT-FAMILY; CH09-P01 CH14 rebuild PR #295,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH10,Optional reading / Thirteen Imprints,5,v0.1/CH10_THIRTEEN-IMPRINTS-CONTENT-INTERACTION.md,R01–R13 optional reading owner / PARTIAL IS COMPLETE,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH11,Digital companion behavior / IA / UI,8,v0.1/CH11_DIGITAL-COMPANION-SYSTEM.md,Digital companion owner; App candidate lineage external to Web authority,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH12,Key-scene integration / temporal handoff,7,v0.1/CH12_KEY-SCENE-DESIGN.md,CH12 v0.4 Selected Scene Proof / 9 A-units; base 7 retained as provenance/input,9 current v0.4 A-units read back; NOT ADDITIVE TO base 7 / NOT CANONICAL PAGE COUNT,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH13,Physical / body / sensory design,7,v0.1/CH13_PHYSICAL-BODY-SENSORY.md,Physical/Body/Sensory owner / four existing families only,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH14,Brand / visual identity grammar,8,v0.1/CH14_BRAND-VISUAL-IDENTITY.md,Brand current system / P01–P08 base; multi-surface execution; candidates P09–P15,MULTI-SURFACE; P07 alone = 12 manual spec surfaces; total NOT mechanical,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH15,Memory / IP / cultural products,6,v0.2/CH15_MEMORY-IP-CULTURAL-PRODUCT.md,Memory/IP owner / Journal + My Book + secondary memory,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH16,Detail development,7,v0.2/CH16_DESIGN-DETAIL-DEVELOPMENT.md,Detail development owner; PR #289 v1.1 7-page producer set,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH17,Technical / model / engineering proof,6,v0.2/CH17_TECHNICAL-MODEL-ENGINEERING-PROOF.md,Technical/model proof owner; P04 no-compression split,6 authoring topics; CH17-P04 preserves 2 independent proof surfaces,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH18,Evolution / selection / professional judgment,6,v0.2/CH18_EVOLUTION-PROFESSIONAL-JUDGMENT.md,Evolution/selection/professional judgment owner,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
CH19,Open items / Return / closure,5,v0.2/CH19_OPEN-ITEMS-RETURN-CLOSURE.md,Open items + Return closure owner,NOT_CANONICAL / BY-CHAPTER PRODUCTION REGISTER REQUIRED,REGISTERED / PAGE-ID COLLISION REVIEW OPEN,NONE UNTIL PAGE-ID REVIEW
